,Transit stations,Transit stations
Date,2020-03-29,2020-04-05
FIPS,,
28067,,-39.0
28069,,
28071,,
28073,-44.0,-44.0
28075,-29.0,-37.0
28077,,
28079,,
28081,-26.0,-36.0
28083,,
28085,,
28087,-39.0,-46.0
28089,-45.0,-43.0
28091,,
28093,,
28095,,
28097,-22.0,-27.0
28099,,
28101,,
28103,,
28105,,
28107,-28.0,-40.0
28109,-24.0,-34.0
28111,,
28113,-28.0,-35.0
28115,,
28117,,
28119,,
28121,-42.0,-42.0
28123,-9.0,-32.0
28127,-40.0,-34.0
28129,,
28131,,
28133,-20.0,-2.0
28135,,
28137,-8.0,-2.0
28139,,
28141,,
28143,,
28145,-20.0,-26.0
28147,,
28149,,
28151,,
28153,,
28155,,
28157,,
28159,,
28161,,
28163,,
29001,,
29003,,
29007,,
29009,,
29011,,
29013,,
29015,,
29017,,
29019,-58.0,-56.0
29021,-5.0,-9.0
29023,,
29025,,
29027,,
29029,,
29031,,
29033,,
29037,-14.0,-19.0
29039,,
29041,,
29043,,
29045,-46.0,-46.0
29047,-30.0,-24.0
29049,,
29051,,
29053,-15.0,-20.0
29055,-7.0,-9.0
29057,,
29059,,
29061,,
29063,,
29065,,
29067,,
29069,,
29071,-12.0,-23.0
29073,,
29075,,
29077,-34.0,-39.0
29079,,
29081,-15.0,-13.0
29083,,
29085,,
29089,,
29091,-24.0,-26.0
29093,,
29095,-13.0,-18.0
29097,-11.0,-14.0
29099,6.0,17.0
29101,,
29105,,
29107,-19.0,-21.0
29109,-17.0,-22.0
29111,,
29113,,
29115,,
29117,,
29119,,
29121,-30.0,-28.0
29123,,
29125,,
29127,-46.0,-38.0
29131,,
29133,-13.0,-32.0
29135,,
29137,,
29139,,
29141,,
29143,-12.0,-22.0
29145,-19.0,-22.0
29147,,
29149,,
29151,,
29153,,
29155,-27.0,-36.0
29157,,
29159,,
29161,-18.0,-18.0
29163,,
29165,-80.0,-84.0
29167,,
29169,-45.0,-50.0
29171,,
29173,-9.0,-23.0
29175,,
29177,,
29181,,
29183,-16.0,-26.0
29185,,-25.0
29186,-3.0,-15.0
29187,,
29189,-59.0,-65.0
29195,,
29197,,
29201,-19.0,-12.0
29203,,
29205,,
29207,,
29209,,
29211,,
29213,,
29215,,
29217,-24.0,-29.0
29219,-4.0,-20.0
29221,,
29223,,
29225,-38.0,-38.0
29229,,
30001,,
30003,-13.0,-19.0
30005,,
30007,,
30009,,
30013,-70.0,-60.0
30017,,
30021,,
30023,,
30027,,
30029,-50.0,-46.0
30031,-66.0,-67.0
30035,,
30041,,
30043,,
30047,,
30049,,
30053,,
30057,,
30061,,
30063,-28.0,-30.0
30067,,
30073,,
30077,,
30081,,
30083,,
30085,,
30087,,
30089,,
30093,-20.0,-25.0
30095,-4.0,-9.0
30099,,
30105,,
30111,-45.0,-58.0
31001,,
31003,,
31013,,
31019,-3.0,-17.0
31021,,
31023,,
31025,,
31027,,
31031,,
31033,-1.0,-2.0
31035,,
31037,,
31039,,
31041,,
31043,,
31045,,
31047,,
31049,-5.0,-19.0
31051,,
31053,-2.0,-32.0
31055,-38.0,-43.0
31059,,
31067,,
31079,-15.0,-29.0
31081,-6.0,-13.0
31089,,
31093,,
31095,,
31099,,
31101,14.0,7.0
31105,,
31107,,
31109,-18.0,-26.0
31111,-8.0,-17.0
31119,,
31121,,
31123,,
31127,,
31131,,
31137,,
31139,,
31141,-16.0,-27.0
31143,,
31145,,
31147,,
31151,,
31153,23.0,-1.0
31155,,
31157,,
31159,,
31167,,
31169,,
31173,,
31177,,
31179,,
31185,-12.0,-22.0
32001,,
32003,-66.0,-67.0
32005,,
32007,-11.0,-14.0
32013,-40.0,-55.0
32015,,
32019,-10.0,-22.0
32021,-29.0,-20.0
32023,-20.0,-22.0
32027,6.0,-13.0
32029,,
32031,-64.0,-71.0
32033,-4.0,-11.0
32510,,
33001,,
33003,,
33005,,
33007,,
33009,-45.0,-27.0
33011,-57.0,-39.0
33013,-76.0,-73.0
33015,-60.0,-59.0
33017,-39.0,-52.0
33019,,
34001,-72.0,-66.0
34003,-64.0,-56.0
34005,-53.0,-50.0
34007,-59.0,-58.0
34009,-59.0,-54.0
34011,-28.0,-30.0
34013,-78.0,-79.0
34015,-15.0,-16.0
34017,-72.0,-67.0
34019,-31.0,-39.0
34021,-74.0,-73.0
34023,-77.0,-66.0
34025,-67.0,-51.0
34027,-64.0,-47.0
34029,-58.0,-52.0
34031,-55.0,-47.0
34033,-61.0,-68.0
34035,-60.0,66.0
34037,-53.0,-43.0
34039,-61.0,-58.0
34041,-40.0,-46.0
35001,-43.0,-41.0
35005,-49.0,-51.0
35006,-16.0,-25.0
35007,-26.0,-43.0
35009,-38.0,-28.0
35015,-35.0,-19.0
35017,,
35019,-9.0,-10.0
35023,-31.0,-40.0
35025,-34.0,-40.0
35027,,
35028,,
35029,-22.0,-26.0
35031,-13.0,-18.0
35035,,
35037,-7.0,-17.0
35039,,
35041,,
35043,-28.0,-45.0
35045,-38.0,-31.0
35047,-41.0,-48.0
35049,-51.0,-39.0
35051,,
35053,,
35055,,
35057,-8.0,-19.0
35059,-34.0,-43.0
35061,-21.0,-26.0
36001,-64.0,-62.0
36003,,
36005,-55.0,-51.0
36007,-43.0,-46.0
36009,,
36011,-49.0,-42.0
36013,,
36015,-58.0,-65.0
36017,,
36019,-67.0,-60.0
36021,-36.0,-39.0
36023,,-39.0
36025,,
36027,-72.0,-61.0
36029,-49.0,-52.0
36031,,
36033,,
36035,,
36037,-56.0,-58.0
36039,,
36043,-70.0,-71.0
36045,,
36047,-63.0,-62.0
36049,,
36051,-37.0,-37.0
36053,-62.0,-60.0
36055,-41.0,-45.0
36057,2.0,9.0
36059,-69.0,-66.0
36061,-78.0,-78.0
36063,-59.0,-60.0
36065,-50.0,-48.0
36067,-55.0,-58.0
36069,-62.0,-60.0
36071,-61.0,-59.0
36073,,
36075,,
36077,,
36079,-69.0,-63.0
36081,-75.0,-77.0
36083,-54.0,-51.0
36085,-60.0,-58.0
36087,-68.0,-60.0
36089,,
36091,-52.0,-39.0
36093,-48.0,-44.0
36095,,
36097,,
36099,-67.0,-73.0
36101,-22.0,-22.0
36103,-70.0,-66.0
36105,,
36107,,
36109,-50.0,-44.0
36111,-69.0,-74.0
36113,-43.0,-41.0
36115,,
36117,,
36119,-66.0,-59.0
36121,,
36123,,
37001,-18.0,-29.0
37003,,
37005,,
37007,,
37009,,
37011,,
37013,,
37015,,
37017,,
37019,-33.0,-51.0
37021,-70.0,-77.0
37023,,
37025,-33.0,-46.0
37027,,
37029,,
37031,,
37033,,
37035,-11.0,-18.0
37037,,
37039,,
37041,,
37043,,
37045,,
37047,,
37049,-25.0,-43.0
37051,-32.0,-41.0
37053,,
37055,,
37057,-18.0,-27.0
37059,-27.0,-29.0
37061,-20.0,-44.0
37063,-36.0,-31.0
37065,,
37067,-17.0,-13.0
37069,,
37071,,
37073,,
37075,,
37077,,
37079,,
37081,-42.0,-41.0
37083,,
37085,-9.0,-16.0
37087,-19.0,-36.0
37089,-46.0,-48.0
37091,,
37093,,
37097,-15.0,-22.0
37099,,
37101,-14.0,-32.0
37103,,
37105,,
37107,,
37109,,
37111,-23.0,-27.0
37113,,
37115,,
37117,,
37119,-70.0,-71.0
37121,,
37123,-19.0,-35.0
37125,,
37127,-16.0,-41.0
37129,-63.0,-70.0
37131,,
37133,-61.0,-66.0
37135,-50.0,-50.0
37137,,
37139,-49.0,
37141,,
37143,,
37145,,
