,Residential,Residential
Date,2020-03-29,2020-04-05
FIPS,,
18127,13.0,11.0
18129,-1.0,-1.0
18131,,
18133,11.0,11.0
18135,8.0,8.0
18137,0.0,0.0
18139,,
18141,11.0,9.0
18143,3.0,3.0
18145,21.0,18.0
18147,,
18149,,
18151,19.0,20.0
18153,,
18155,,
18157,12.0,11.0
18159,,
18161,,
18163,10.0,10.0
18165,,
18167,9.0,10.0
18169,8.0,8.0
18171,,
18173,22.0,21.0
18175,11.0,11.0
18177,12.0,10.0
18179,11.0,11.0
18181,6.0,6.0
18183,22.0,19.0
19001,,
19005,,
19007,,
19009,,
19011,8.0,8.0
19013,10.0,8.0
19015,14.0,14.0
19017,-1.0,-1.0
19019,,
19021,,
19023,,
19025,,
19027,,
19029,,
19031,,
19033,17.0,20.0
19035,,
19037,,
19039,,
19041,,
19043,,
19045,16.0,16.0
19047,,
19049,25.0,27.0
19051,,
19053,,
19055,,
19057,14.0,15.0
19059,,
19061,15.0,13.0
19063,,
19065,,
19067,,
19069,,
19071,,
19073,,
19075,,
19077,,
19079,,
19081,,
19083,,
19085,,
19087,,
19089,,
19091,,
19093,,
19095,,
19097,,
19099,11.0,12.0
19101,,
19103,13.0,11.0
19105,,
19107,,
19109,,
19111,14.0,14.0
19113,11.0,9.0
19115,,
19117,,
19119,,
19121,,
19123,,
19125,13.0,13.0
19127,14.0,17.0
19129,,
19131,,
19133,,
19135,,
19137,,
19139,16.0,17.0
19141,,
19143,,
19145,,
19147,,
19149,8.0,8.0
19151,,
19153,10.0,9.0
19155,7.0,8.0
19157,,
19161,,
19163,11.0,9.0
19165,,
19167,19.0,22.0
19169,22.0,25.0
19171,,
19173,,
19175,,
19177,,
19179,10.0,10.0
19181,15.0,18.0
19183,-3.0,-3.0
19185,,
19187,15.0,18.0
19189,,
19191,,
19193,8.0,8.0
19195,,
19197,,
20001,,
20003,,
20005,,
20009,-1.0,-1.0
20011,,
20013,,
20015,15.0,19.0
20021,-4.0,-4.0
20027,,
20029,,
20031,,
20035,12.0,18.0
20037,15.0,18.0
20041,,
20043,,
20045,11.0,12.0
20051,-1.0,-1.0
20053,,
20055,12.0,17.0
20057,11.0,14.0
20059,15.0,12.0
20061,15.0,20.0
20067,,
20073,,
20077,,
20079,14.0,19.0
20085,,
20087,,
20091,12.0,12.0
20095,,
20099,,
20103,17.0,19.0
20107,,
20111,15.0,18.0
20113,13.0,16.0
20115,,
20117,,
20121,16.0,18.0
20123,,
20125,9.0,14.0
20127,,
20131,,
20133,,
20139,,
20143,,
20145,,
20149,2.0,2.0
20151,,
20155,10.0,12.0
20159,,
20161,20.0,25.0
20167,,
20169,11.0,18.0
20171,,
20173,9.0,10.0
20175,-1.0,-1.0
20177,10.0,10.0
20181,,
20189,,
20191,1.0,1.0
20193,,
20195,,
20197,,
20201,,
20205,,
20209,9.0,10.0
21001,,
21003,,
21005,-1.0,-1.0
21007,,
21009,7.0,7.0
21011,,
21013,,
21015,9.0,11.0
21017,,
21019,15.0,14.0
21021,,
21023,,
21025,,
21027,,
21029,18.0,18.0
21031,,
21033,,
21035,10.0,10.0
21037,13.0,13.0
21039,,
21041,,
21043,,
21045,,
21047,16.0,18.0
21049,12.0,12.0
21051,,
21053,,
21055,,
21059,8.0,9.0
21061,,
21065,,
21067,10.0,11.0
21069,,
21071,,
21073,18.0,20.0
21075,,
21077,,
21079,,
21081,1.0,1.0
21083,10.0,10.0
21085,,
21087,,
21089,1.0,1.0
21091,,
21093,8.0,9.0
21095,,
21097,,
21099,,
21101,16.0,15.0
21103,,
21107,15.0,16.0
21109,,
21111,10.0,10.0
21113,17.0,17.0
21115,,
21117,10.0,11.0
21119,,
21121,,
21123,,
21125,14.0,15.0
21127,,
21133,,
21135,,
21137,,
21139,,
21141,,
21143,,
21145,16.0,16.0
21147,,
21149,,
21151,8.0,9.0
21155,,
21157,9.0,9.0
21161,,
21163,8.0,8.0
21165,,
21167,,
21169,,
21171,,
21173,-3.0,-3.0
21175,,
21177,,
21179,17.0,17.0
21181,,
21183,,
21185,24.0,24.0
21187,,
21191,,
21193,,
21195,,
21197,,
21199,15.0,15.0
21203,,
21205,,
21207,,
21209,23.0,24.0
21211,18.0,19.0
21213,,
21215,,
21217,,
21219,,
21221,,
21223,,
21225,,
21227,10.0,10.0
21229,,
21231,,
21233,,
21235,-3.0,-3.0
21239,,
22001,15.0,16.0
22003,,
22005,15.0,16.0
22007,,
22009,-2.0,-2.0
22011,3.0,3.0
22013,,
22015,12.0,13.0
22017,10.0,11.0
22019,11.0,12.0
22021,,
22023,,
22025,,
22027,,
22029,,
22031,,
22033,12.0,12.0
22037,,
22039,,
22041,,
22043,,
22045,16.0,16.0
22047,,
22049,,
22051,14.0,14.0
22053,-1.0,-1.0
22055,11.0,11.0
22057,12.0,17.0
22059,,
22061,9.0,9.0
22063,10.0,10.0
22065,,
22067,,
22069,6.0,6.0
22071,16.0,16.0
22073,9.0,9.0
22075,,
22077,,
22079,10.0,10.0
22081,,
22083,,
22085,,
22087,23.0,21.0
22089,22.0,23.0
22091,,
22093,,
22095,22.0,23.0
22097,14.0,15.0
22099,19.0,16.0
22101,15.0,15.0
22103,11.0,12.0
22105,10.0,10.0
22109,9.0,10.0
22111,,
22113,16.0,16.0
22115,19.0,19.0
22117,2.0,2.0
22119,13.0,13.0
22121,,
22123,,
22125,,
22127,,
23001,10.0,10.0
23003,16.0,18.0
23005,13.0,12.0
23007,0.0,0.0
23009,17.0,23.0
23011,10.0,10.0
23013,11.0,11.0
23015,6.0,6.0
23017,18.0,21.0
23019,9.0,9.0
23021,,
23023,13.0,13.0
23025,17.0,19.0
23027,13.0,13.0
23029,,
23031,12.0,11.0
24001,16.0,18.0
24003,13.0,14.0
24005,13.0,13.0
24009,23.0,26.0
24011,15.0,18.0
24013,12.0,13.0
24015,10.0,11.0
24017,13.0,15.0
24019,12.0,15.0
24021,13.0,14.0
24023,-1.0,-1.0
24025,12.0,12.0
24027,16.0,16.0
24029,,
24031,16.0,17.0
24033,14.0,15.0
24035,21.0,24.0
24037,14.0,15.0
24039,,
24041,8.0,8.0
24043,10.0,11.0
24045,10.0,12.0
24047,16.0,19.0
25001,13.0,11.0
25003,12.0,10.0
25005,13.0,12.0
25007,,
25009,16.0,14.0
25011,22.0,24.0
25013,12.0,11.0
25015,15.0,14.0
25017,18.0,16.0
25019,,
25021,17.0,15.0
25023,14.0,12.0
25025,18.0,17.0
25027,14.0,12.0
26001,,
26003,,
26005,12.0,10.0
26007,3.0,3.0
26009,,
26011,,
26013,,
26015,25.0,24.0
26017,11.0,9.0
26019,,
26021,11.0,10.0
26023,22.0,20.0
26025,11.0,9.0
26027,22.0,20.0
26029,,
26031,,
26033,2.0,2.0
26035,9.0,9.0
26037,28.0,27.0
26039,,
26041,9.0,9.0
26043,0.0,0.0
26045,12.0,10.0
26047,1.0,1.0
26049,12.0,11.0
26051,0.0,0.0
26053,,
26055,15.0,23.0
26057,21.0,19.0
26059,24.0,22.0
26061,3.0,3.0
26063,0.0,0.0
26065,14.0,12.0
26067,24.0,22.0
26069,,
26071,,
26073,24.0,23.0
26075,11.0,10.0
26077,12.0,11.0
26079,,
26081,13.0,10.0
26085,,
26087,27.0,27.0
26089,,
26091,11.0,10.0
26093,12.0,12.0
26095,,
26097,,
26099,13.0,13.0
26101,,
26103,21.0,22.0
26105,7.0,7.0
26107,20.0,20.0
26109,,
26111,27.0,26.0
26113,,
26115,11.0,10.0
26117,22.0,22.0
26119,,
26121,11.0,9.0
26123,23.0,21.0
26125,14.0,13.0
26127,-1.0,-1.0
26129,,
26131,,
26133,,
26135,,
26137,-1.0,-1.0
26139,13.0,10.0
26141,,
26143,,
26145,12.0,11.0
26147,11.0,11.0
26149,23.0,22.0
26151,12.0,12.0
26153,,
26155,24.0,24.0
26157,23.0,23.0
26159,23.0,21.0
26161,15.0,14.0
26163,13.0,13.0
26165,12.0,12.0
27001,,
27003,15.0,12.0
27005,16.0,16.0
27007,18.0,20.0
27009,18.0,23.0
27011,,
27013,20.0,26.0
27015,9.0,9.0
27017,11.0,11.0
27019,24.0,30.0
27021,0.0,0.0
27023,,
27025,20.0,26.0
27027,20.0,29.0
27029,,
27031,,
27033,,
27035,16.0,22.0
27037,15.0,12.0
27039,4.0,4.0
27041,17.0,26.0
27043,,
27045,,
27047,15.0,21.0
27049,18.0,26.0
27051,,
27053,16.0,13.0
27055,,
27057,,
27059,17.0,23.0
27061,17.0,19.0
27063,,
27065,,
27067,16.0,22.0
27071,,
27073,,
27075,,
27077,,
27079,17.0,19.0
27081,,
27083,4.0,4.0
27085,16.0,23.0
27087,,
27089,,
27091,,
27093,3.0,3.0
27095,11.0,11.0
27097,13.0,14.0
27099,18.0,22.0
27101,,
27103,20.0,22.0
27105,,
27107,,
27109,15.0,11.0
27111,15.0,24.0
27113,,
27115,10.0,10.0
27117,,
27119,15.0,15.0
27121,,
27123,15.0,12.0
27125,,
27127,,
27129,,
27131,18.0,24.0
27133,,
27135,,
27137,14.0,12.0
27139,15.0,12.0
27141,20.0,25.0
27143,,
27145,14.0,11.0
27147,19.0,25.0
27149,,
27151,,
27153,3.0,3.0
27157,,
27159,,
27161,,
27163,16.0,13.0
27165,,
27167,,
27169,20.0,25.0
27171,15.0,12.0
27173,,
28001,,
28003,1.0,1.0
28005,,
28007,,
28009,,
28011,,
28013,,
28015,,
28017,,
28021,,
28023,,
28025,,
28027,,
28029,,
28031,,
28035,13.0,15.0
28039,,
28041,,
28043,,
28045,16.0,16.0
28047,10.0,12.0
28049,9.0,11.0
28051,,
28053,,
28057,,
28059,10.0,12.0
28061,,
28065,,
28067,11.0,12.0
28069,,
28071,10.0,10.0
28073,14.0,17.0
28075,14.0,17.0
28077,,
28079,,
28081,19.0,20.0
28083,,
28085,,
28087,13.0,15.0
28089,21.0,23.0
28091,,
28093,5.0,5.0
28095,0.0,0.0
28097,,
28099,,
28101,,
28103,,
28105,2.0,2.0
28107,-3.0,-3.0
28109,14.0,16.0
28111,,
28113,-2.0,-2.0
28115,-1.0,-1.0
28117,,
28119,,
28121,10.0,15.0
28123,,
28127,,
28129,,
28131,,
28133,,
28135,,
28137,,
28139,,
28141,,
28143,,
28145,,
28147,,
28149,15.0,17.0
28151,11.0,14.0
28153,,
28155,,
28157,,
28159,,
28161,,
28163,,
29001,-1.0,-1.0
29003,,
29007,6.0,6.0
29009,9.0,12.0
29011,,
29013,,
29015,,
29017,,
29019,10.0,11.0
29021,7.0,7.0
29023,10.0,10.0
29025,,
29027,18.0,17.0
29029,13.0,15.0
29031,12.0,11.0
29033,,
29037,9.0,10.0
29039,,
29041,,
29043,13.0,14.0
29045,,
29047,10.0,11.0
29049,,
29051,19.0,22.0
29053,,
29055,,
29057,,
29059,,
29061,,
29063,,
29065,,
29067,,
29069,,
29071,8.0,9.0
29073,,
29075,,
29077,10.0,11.0
29079,,
29081,,
29083,-1.0,-1.0
29085,,
29089,,
29091,12.0,15.0
29093,,
29095,10.0,10.0
29097,7.0,8.0
29099,9.0,11.0
29101,16.0,21.0
29105,13.0,14.0
29107,13.0,16.0
29109,11.0,12.0
29111,,
29113,18.0,18.0
29115,,
29117,,
29119,-4.0,-4.0
29121,,
29123,,
29125,,
29127,13.0,11.0
29131,-3.0,-3.0
29133,,
29135,,
29137,,
29139,,
29141,,
29143,,
29145,13.0,15.0
29147,,
29149,,
29151,,
29153,,
29155,,
29157,,
29159,15.0,16.0
29161,16.0,17.0
29163,,
29165,15.0,16.0
29167,10.0,12.0
29169,13.0,16.0
29171,,
29173,,
29175,1.0,1.0
29177,7.0,7.0
29181,,
29183,11.0,12.0
29185,,
29186,,
29187,13.0,15.0
29189,11.0,13.0
29195,0.0,0.0
29197,,
29201,11.0,12.0
29203,,
29205,,
29207,-2.0,-2.0
29209,9.0,9.0
29211,,
29213,13.0,16.0
29215,,
29217,,
29219,16.0,16.0
29221,,
29223,,
29225,16.0,14.0
29229,,
30001,,
30003,,
30005,,
30007,,
30009,,
30013,12.0,11.0
30017,,
30021,,
30023,,
30027,,
30029,10.0,10.0
30031,12.0,12.0
30035,,
30041,,
30043,,
30047,1.0,1.0
30049,18.0,21.0
30053,,
30057,,
30061,,
30063,11.0,10.0
30067,,
30073,,
30077,,
30081,11.0,14.0
30083,,
30085,,
30087,,
30089,,
30093,13.0,16.0
30095,,
30099,,
30105,,
30111,8.0,8.0
31001,13.0,17.0
31003,,
31013,,
31019,17.0,19.0
31021,,
31023,,
31025,12.0,12.0
31027,,
31031,,
31033,,
31035,,
31037,,
31039,,
31041,,
31043,1.0,1.0
31045,,
31047,-2.0,-2.0
31049,,
31051,,
31053,13.0,16.0
31055,9.0,9.0
31059,,
31067,1.0,1.0
31079,12.0,18.0
31081,,
31089,,
31093,,
31095,,
31099,,
31101,,
31105,,
31107,,
31109,8.0,9.0
31111,14.0,15.0
31119,14.0,18.0
31121,,
31123,,
31127,,
31131,,
31137,,
31139,,
31141,15.0,19.0
31143,,
31145,,
31147,,
31151,,
31153,9.0,10.0
31155,,
31157,14.0,17.0
31159,,
31167,,
31169,,
31173,,
31177,,
31179,,
31185,,
32001,5.0,5.0
32003,15.0,16.0
32005,18.0,19.0
32007,17.0,15.0
32013,,
32015,,
32019,15.0,16.0
32021,,
32023,13.0,13.0
32027,,
32029,,
32031,12.0,14.0
32033,,
32510,18.0,19.0
33001,18.0,22.0
33003,19.0,22.0
33005,18.0,22.0
33007,10.0,10.0
33009,20.0,24.0
33011,14.0,12.0
33013,13.0,11.0
33015,14.0,12.0
33017,13.0,10.0
33019,16.0,20.0
34001,16.0,15.0
34003,19.0,18.0
34005,14.0,13.0
34007,13.0,12.0
34009,19.0,19.0
34011,10.0,10.0
34013,17.0,17.0
34015,13.0,12.0
34017,18.0,18.0
34019,28.0,30.0
34021,15.0,14.0
34023,17.0,16.0
34025,17.0,15.0
34027,18.0,17.0
34029,15.0,14.0
34031,16.0,16.0
34033,18.0,19.0
34035,17.0,16.0
34037,15.0,13.0
34039,17.0,17.0
34041,14.0,13.0
35001,11.0,11.0
35005,12.0,11.0
35006,,
35007,,
35009,16.0,15.0
35015,12.0,13.0
35017,2.0,2.0
35019,,
35023,,
35025,13.0,13.0
35027,,
35028,,
35029,,
35031,22.0,19.0
35035,19.0,16.0
35037,,
35039,12.0,12.0
35041,,
35043,11.0,10.0
35045,10.0,10.0
35047,-1.0,-1.0
35049,12.0,11.0
35051,,
35053,,
35055,1.0,1.0
35057,,
35059,,
35061,13.0,12.0
36001,13.0,11.0
36003,18.0,20.0
36005,16.0,16.0
36007,11.0,10.0
36009,18.0,10.0
36011,20.0,22.0
36013,8.0,8.0
36015,14.0,12.0
36017,20.0,22.0
36019,18.0,21.0
36021,19.0,22.0
36023,22.0,23.0
36025,10.0,10.0
36027,14.0,13.0
36029,10.0,10.0
36031,3.0,3.0
36033,17.0,17.0
36035,15.0,18.0
36037,20.0,21.0
36039,17.0,18.0
36043,18.0,20.0
36045,9.0,8.0
36047,18.0,17.0
36049,,
36051,21.0,24.0
36053,22.0,25.0
36055,11.0,11.0
36057,17.0,19.0
36059,19.0,18.0
36061,19.0,18.0
36063,10.0,10.0
36065,10.0,9.0
36067,11.0,11.0
36069,9.0,9.0
36071,15.0,14.0
36073,19.0,21.0
36075,10.0,9.0
36077,19.0,21.0
36079,28.0,32.0
36081,20.0,20.0
36083,12.0,10.0
36085,17.0,16.0
36087,20.0,19.0
36089,11.0,10.0
36091,13.0,11.0
36093,12.0,11.0
36095,3.0,3.0
36097,,
36099,15.0,15.0
36101,10.0,9.0
36103,16.0,16.0
36105,18.0,20.0
36107,19.0,22.0
36109,28.0,31.0
36111,14.0,12.0
36113,18.0,20.0
36115,17.0,20.0
36117,13.0,11.0
36119,18.0,17.0
36121,19.0,17.0
36123,,
37001,9.0,10.0
37003,12.0,15.0
37005,,
37007,,
37009,,
37011,,
37013,13.0,14.0
37015,,
37017,12.0,12.0
37019,8.0,9.0
37021,13.0,12.0
37023,7.0,9.0
37025,12.0,12.0
37027,7.0,9.0
37029,,
37031,8.0,15.0
