,FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
114,5019,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.2,0.1,32,1,0,0,0
115,5021,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
116,5023,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
117,5025,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
118,5027,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
119,5029,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
120,5031,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.7,7355,104,1,3,0
121,5033,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
122,5035,,,,737501.0,737503.0,737503.0,737500.0,737495.0,1.4,0.8,12452,78,1,4,0
123,5037,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
124,5039,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
125,5041,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
126,5043,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
127,5045,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
128,5047,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
129,5049,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
130,5051,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.9,0.5,4597,57,1,2,0
131,5053,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
132,5055,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
133,5057,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,0,5,0,0,0
134,5059,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,12,3,0,0,0
135,5061,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,1
136,5063,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
137,5065,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
138,5067,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
139,5069,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
140,5071,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
141,5073,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
142,5075,,,,737501.0,737503.0,737503.0,737500.0,737495.0,0.3,0.2,0,4,0,0,0
