,FIPS,Pop,Density,Area,UrbanRural,EconType,Policies,Movement,Transit,65+,Male,AfricanAmer,CollegePlus,Income,Unemployed,Dems,Hospitals,ICUBeds,HeartDiseaseMort,StrokeMort,Diabetes,Smokers,pLon,pLat
1862,36069,0.599165,0.3352,0.1656325,46.66666666666667,20.0,17.5,-4.05,0.0,0.03344435789397755,29.24624323782809,0.047149858620827906,27.3,17.7165,16.333333333333336,29.44790213542225,0.027816489058384027,0.0,25.933333333333334,32.3,10.530000000000001,13.617569219399998,-772.6012900000001,428.99374
1863,36071,0.30374999999999996,0.9186,0.20965999999999999,40.0,20.0,43.0,-2.0,0.0,0.07401510127275361,28.577692113479195,0.11432252225042164,31.6,18.488,17.666666666666664,32.593447733364414,0.05486968449931413,0.32921810699588483,25.583333333333332,42.2,9.9,15.388704222300005,-742.43059,414.22033999999996
1864,36073,0.49732,0.21919999999999998,0.20435499999999998,13.333333333333332,33.333333333333336,11.0,24.75,0.20106973899999997,0.04175005073129529,30.461835541490103,0.028737350953753422,33.1,30.081500000000002,17.333333333333336,15.998018120045304,0.0,0.0,23.916666666666664,41.4,14.58,14.911852020299998,-782.23294,432.48317
1865,36075,11.6964,0.25660000000000005,0.32802,13.333333333333332,0.0,2.0,4.1,1.7505752259999998,0.001396142203327679,29.866739189556704,0.0011140569230139096,28.4,26.98,10.0,19.130859375,0.00142493986753759,0.0,26.983333333333334,36.4,7.29,15.484789645199996,-763.1314499999997,433.91821
1866,36077,0.7989999999999999,0.12440000000000001,0.2539375,13.333333333333332,20.0,6.0,2.15,0.0,0.02928647902461725,31.338481853467247,0.027087908650865297,33.8,22.473,12.0,42.39507959479016,0.020859407592824366,0.0,37.766666666666666,49.900000000000006,15.3,18.195394211100005,-750.60062,425.63531
1867,36079,2.37974,0.8657999999999999,0.061562500000000006,6.666666666666666,0.0,23.5,8.85,1.0405908510000001,0.011192456745225886,29.564862558890084,0.0,33.7,34.6485,12.0,20.329925650557623,0.0070035662159171445,0.0,26.816666666666666,31.0,12.870000000000001,15.072676921800007,-737.17247,414.11282
1868,36081,1.625135,41.1072,0.0445525,13.333333333333332,20.0,0.0,1.7999999999999998,0.0,0.014707322647622988,32.72011861313868,0.004220782275350323,32.0,21.663999999999998,12.666666666666666,15.860147740077625,0.010255558256185897,0.0,29.75,38.3,14.759999999999998,15.6473688474,-738.3345099999999,407.21294
1869,36083,0.5540849999999999,0.4888,0.1663475,53.33333333333333,0.0,0.0,5.35,0.0,0.04095475793649998,28.603465851172274,0.009068096775929584,38.8,32.9775,12.333333333333334,28.201827777062686,0.030079620756141505,0.07219108981473961,28.616666666666664,45.3,7.379999999999999,15.927591797999998,-736.29889,426.99991
1870,36085,1.13316,16.0606,0.0255725,26.666666666666664,33.333333333333336,0.0,6.9,0.0,0.01795198547699326,30.121722846441948,0.03954029389210115,37.6,27.526000000000003,14.333333333333334,46.92982456140351,0.014708131831927236,0.0,29.566666666666666,45.4,15.84,17.958241124100006,-741.37304,405.88523000000004
1871,36087,0.776195,3.5918,0.049835000000000004,53.33333333333333,26.666666666666664,5.5,2.5,0.0,0.02756654529150758,28.60206702909373,0.023907007259652613,30.7,22.7585,14.666666666666668,33.9152998462327,0.021472267492919517,0.025766720991503424,41.449999999999996,43.3,14.670000000000002,16.8658927272,-740.1903900000001,411.27623
1872,36089,0.158055,0.0836,0.70536,13.333333333333332,20.0,19.0,2.8,0.0621607105,0.14805930199805287,28.757572748038534,0.04909104887839208,32.7,26.869,11.666666666666668,26.456016484348957,0.21089705060474728,0.6010565942235297,26.083333333333336,43.8,8.28,13.4955942732,-751.4970799999998,446.51457999999997
1873,36091,0.09056,0.5422,0.2109525,13.333333333333332,0.0,2.5,13.7,0.0,0.23825633001873392,28.770103296882464,0.5262515336965969,25.5,36.8515,10.999999999999998,43.14238228836302,0.1840400471142521,9.165194346289752,23.083333333333332,41.2,6.300000000000001,14.9739132924,-737.85787,430.08801
1874,36093,0.174215,1.5132,0.0523475,60.0,33.333333333333336,0.5,9.55,0.0,0.12952268522657906,29.727526233859322,0.09343631311624412,32.4,20.631,14.666666666666668,22.508602523406864,0.09566723110333018,0.45920270929598483,31.099999999999998,48.7,6.300000000000001,15.572878383599999,-739.46182,428.09284000000014
1875,36095,0.487695,0.10540000000000001,0.1565825,40.0,0.0,16.5,2.3,0.0,0.05208396449242759,29.245910514714417,0.011188615711146674,30.0,21.309,14.666666666666668,29.819509738079255,0.034174364442257285,0.25630773331692963,25.583333333333332,43.8,9.81,13.968401455800002,-744.3602699999999,426.42508
1876,36097,7.4879750000000005,0.11179999999999998,0.0855825,60.0,33.333333333333336,4.5,9.15,0.0,0.0025618551357566017,29.64906502726241,0.004393274661799354,31.5,21.439,14.333333333333334,18.029875021400446,0.002225790906976408,0.008012847265115067,33.016666666666666,42.3,14.759999999999998,15.0481005192,-768.6912199999997,423.87815
1877,36099,0.378915,0.2178,0.09761,26.666666666666664,0.0,7.0,3.05,0.0,0.06636145039181462,30.04252906152538,0.022800171683942886,31.9,21.364,13.333333333333332,19.823651452282157,0.0,0.0,34.733333333333334,37.0,8.19,14.001847028999999,-768.28521,428.27354
1878,36101,0.24661,0.1424,0.35102,40.0,0.0,3.5,-1.2,0.0,0.09707625072844325,29.475181835339207,0.04994235068614643,33.8,18.431,16.666666666666668,20.418127533691248,0.06758309341335171,0.1621994241920441,27.349999999999998,40.5,7.47,14.0818265919,-773.20329,422.66288000000003
1879,36103,0.522075,3.2748,0.5932825,20.0,26.666666666666664,1.0,-0.8499999999999999,0.272400386,0.03626559317308909,30.58288439459507,0.1321935235094204,36.6,25.374,14.000000000000002,33.22240709927898,0.0,0.0,25.6,38.4,4.05,15.8982204429,-731.1377500000001,408.21924
1880,36105,0.900645,0.1602,0.24917999999999998,13.333333333333332,0.0,36.5,-2.35,1.3779969484999999,0.021385232425849998,29.367997265372786,0.09021966814573483,40.2,23.3895,17.0,22.881794650560828,0.037010512836171114,0.2886820001221347,27.866666666666667,45.9,7.92,14.4221831667,-747.07459,417.00086
1881,36107,0.323505,0.1972,0.13072,6.666666666666666,33.333333333333336,1.5,13.35,0.0,0.05057490494735989,28.783579583613164,0.21753621409081578,38.4,32.213,12.0,41.39048991354467,0.05151903886081101,0.06182284663297322,16.483333333333334,36.4,7.739999999999999,12.761023724999998,-762.97151,421.20980000000003
1882,36109,0.310915,0.428,0.12289,26.666666666666664,33.333333333333336,0.0,5.75,0.018970963,0.137471372563868,29.206394417346107,0.08545127387012413,37.1,32.384,17.0,15.652364273204906,0.05360521900412224,0.0,32.849999999999994,41.4,8.55,15.615175497300001,-764.77416,424.60259
1883,36111,0.45721,0.3246,0.29019,13.333333333333332,0.0,1.5,4.15,0.26062388400000003,0.053914943040511545,28.440978376462247,0.03290938117848326,31.9,23.879,12.333333333333334,32.02968883813873,0.03645297930199835,0.043743575162398025,29.333333333333332,45.8,11.790000000000001,16.1743005081,-741.0074499999997,418.41064000000006
1884,36113,4.876605,0.1516,0.23290000000000002,13.333333333333332,0.0,1.5,4.15,0.0,0.004995473900862847,29.165613147914033,0.002939134832027445,32.4,30.4005,11.333333333333332,17.664541695382493,0.0,0.0,24.28333333333333,39.4,3.330000000000001,14.6798948619,-737.14626,433.96992
1885,36115,0.20443,0.1522,0.2114725,40.0,20.0,0.0,-0.65,0.0,0.08417230640465762,28.790556229066926,0.24465709735244892,30.6,21.3625,14.333333333333334,25.83385125336648,0.16305499845097754,1.3941202367558578,35.71666666666667,51.6,11.880000000000003,16.5334461813,-734.5869300000003,432.90255
1886,36117,0.125415,0.3106,0.3457625,13.333333333333332,20.0,0.0,4.5,2.3888053795,0.18764521664609163,29.604190503432495,0.0826788708575117,23.6,29.6645,11.666666666666668,29.128990786372402,0.13289213145689643,0.39867639437068936,48.93333333333334,43.9,15.209999999999999,17.2847745828,-771.2668199999997,431.43734
1887,36119,0.78922,4.4094,0.125,20.0,0.0,0.0,-6.6,0.0,0.021580413314537972,30.34919768371386,0.10562677948382082,29.8,19.409,22.666666666666664,29.149489649699074,0.021117896995345612,0.45614657509946527,27.666666666666664,40.5,12.69,14.092998932699999,-738.04532,410.40536000000003
1888,36121,0.185795,0.1422,0.1490725,13.333333333333332,0.0,0.0,3.0,0.141528108,0.16410305323731386,29.875145092708983,0.0695769211323057,29.3,25.055999999999997,12.666666666666666,43.70778058110198,0.08970460274316674,1.2917462795016013,31.366666666666664,42.5,10.709999999999999,16.281771724800002,-782.18884,427.25754
1889,36123,0.054675,0.15,0.0939475,6.666666666666666,0.0,0.0,10.7,0.0,0.3951237631103726,29.67073031787627,0.73801274720863,33.4,28.855,13.333333333333332,18.091669426962575,0.0,0.0,31.599999999999998,35.7,7.02,13.8350415987,-770.78037,426.33657
1890,37001,0.12765500000000002,0.7130000000000001,0.108685,6.666666666666666,0.0,0.0,6.45,0.0705207445,0.1686477560847022,29.633507853403138,0.1560759145243196,33.3,26.399,13.0,28.993148485172892,0.13056023396393926,0.0,25.65,31.7,7.379999999999999,14.182038183600001,-794.1419300000002,360.71263
