FIPS,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
42079,906.26,890.33,360.4,167.1
42081,1243.84,1228.59,94.5,42.7
42083,984.22,979.2,44.4,21.7
42085,682.61,672.57,173.4,76.9
42087,414.72,411.03,113.6,52.4
42089,617.26,608.29,279.2,132.1
42091,487.19,483.04,1655.9,674.3
42093,132.33,130.24,140.3,61.2
42095,377.4,369.67,805.4,325.6
42097,477.52,458.37,206.2,98.4
42099,555.54,551.45,83.4,37.0
42101,142.71,134.1,11379.5,4997.5
42103,566.85,544.96,105.3,70.4
42105,1081.54,1081.32,16.1,12.0
42107,782.81,778.63,190.4,89.0
42109,331.52,328.71,120.8,48.8
42111,1080.93,1074.37,72.4,35.5
42113,452.49,449.94,14.3,14.0
42115,832.14,823.43,52.7,27.9
42117,1136.97,1133.79,37.0,18.8
42119,317.78,315.98,142.2,53.8
42121,682.84,674.28,81.5,40.7
42123,898.56,884.13,47.3,26.6
42125,860.91,856.99,242.5,108.5
42127,750.61,725.6,72.8,43.6
42129,1036.07,1027.55,355.4,163.7
42131,405.05,397.32,71.2,33.4
42133,910.72,904.18,481.1,197.6
44001,44.75,24.16,2064.0,862.8
44003,188.12,168.53,985.9,437.3
44005,313.59,102.39,809.6,408.2
44007,435.66,409.5,1530.3,646.7
44009,562.76,329.23,385.7,188.9
45001,510.99,490.48,51.8,24.6
45003,1080.6,1071.03,149.5,67.5
45005,412.42,408.09,25.5,11.0
45007,757.44,715.43,261.6,118.5
45009,395.56,393.37,40.6,19.6
45011,557.26,548.39,41.2,19.1
45013,923.4,576.28,281.5,161.4
45015,1229.24,1098.86,161.8,66.8
45017,392.48,381.15,39.8,19.3
45019,1358.0,916.09,382.3,185.6
45021,397.18,392.66,140.9,61.1
45023,586.16,580.66,57.1,25.3
45025,805.75,799.08,58.5,26.9
45027,695.65,606.94,57.6,28.8
45029,1133.29,1056.49,36.8,18.8
45031,566.8,561.15,122.4,54.0
45033,406.59,404.87,79.2,33.9
45035,575.81,573.23,238.2,96.3
45037,506.7,500.41,53.9,21.1
45039,709.88,686.28,34.9,17.0
45041,803.73,799.96,171.1,73.3
45043,1034.65,813.55,73.9,41.4
45045,794.87,785.12,574.7,249.0
45047,462.93,454.73,153.2,68.3
45049,562.71,559.9,37.7,16.3
45051,1255.0,1133.9,237.5,164.0
45053,699.36,655.32,37.8,15.7
45055,740.4,726.56,84.9,37.8
45057,555.12,549.16,139.6,59.5
45059,723.84,713.8,93.2,43.0
45061,411.23,410.18,46.9,19.0
45063,757.73,698.91,375.4,163.0
45065,393.87,359.13,28.5,15.2
45067,494.14,489.23,67.6,30.6
45069,485.27,479.67,60.3,25.2
45071,647.29,630.04,59.5,28.4
45073,673.51,626.33,118.6,61.9
45075,1127.9,1106.1,83.6,38.4
45077,512.03,496.41,240.2,103.2
45079,771.71,757.07,507.9,213.6
45081,461.82,452.78,43.9,20.5
45083,819.24,807.93,351.9,151.8
45085,682.08,665.07,161.6,69.2
45087,516.03,514.17,56.3,27.5
45089,937.04,934.16,36.8,16.4
45091,695.81,680.59,332.2,138.4
46003,712.75,708.42,3.8,1.9
46005,1264.81,1258.71,13.8,6.6
46007,1190.5,1184.71,2.9,1.1
46009,581.66,563.7,12.5,5.2
46011,804.94,792.21,40.3,16.6
46013,1730.95,1712.98,21.3,9.8
46015,846.48,817.24,6.4,3.0
46017,487.74,471.38,4.1,1.3
46019,2266.4,2249.9,4.5,2.1
46021,770.84,733.68,2.0,1.3
46023,1150.23,1097.49,8.3,3.5
46025,967.5,957.6,3.9,1.8
46027,417.24,412.19,33.6,13.7
46029,717.16,688.5,39.5,18.0
46031,2529.65,2469.69,1.6,0.6
46033,1559.12,1557.0,5.3,3.0
46035,436.92,435.56,44.8,20.3
46037,1091.09,1027.87,5.6,3.5
46039,636.61,622.69,7.0,3.5
46041,2445.28,2302.49,2.3,0.9
46043,433.67,431.8,7.0,3.3
46045,1151.07,1125.96,3.6,1.7
46047,1749.15,1739.92,4.1,2.4
46049,1005.96,981.75,2.4,1.2
46051,687.54,681.46,10.8,5.2
46053,1053.53,1014.96,4.2,2.5
46055,1826.92,1810.53,1.1,0.6
46057,538.07,507.23,11.6,5.4
46059,1440.18,1436.61,2.4,1.3
46061,435.37,434.51,7.7,2.7
46063,2677.92,2671.37,0.5,0.3
46065,800.73,741.56,23.0,10.3
46067,814.42,812.9,9.0,4.1
46069,866.14,860.52,1.7,0.8
46071,1871.29,1863.91,1.6,0.6
46073,532.67,526.23,3.9,2.0
46075,970.89,969.68,1.0,0.6
46077,863.76,832.24,6.2,3.3
46079,575.16,563.28,19.9,9.9
46081,800.31,800.04,30.1,15.9
46083,577.75,577.28,77.7,31.0
46085,1706.67,1641.94,2.3,1.0
46087,576.87,574.2,9.8,4.3
46089,1151.54,1136.64,2.2,1.2
46091,886.22,838.07,5.6,3.0
46093,3482.85,3470.98,7.3,3.2
46095,1310.87,1307.31,1.6,0.6
46097,571.93,570.31,4.2,2.3
46099,813.86,807.15,210.0,88.7
46101,520.81,519.39,12.5,5.4
46103,2784.26,2776.55,36.4,16.2
46105,2889.99,2870.48,1.0,0.6
46107,898.67,861.14,2.7,1.7
46109,1135.77,1101.04,9.2,4.5
46111,570.48,569.32,4.1,2.1
46113,2096.65,2093.9,6.5,1.7
46115,1509.74,1503.93,4.3,2.1
46117,1517.17,1444.43,2.1,1.0
46119,1070.29,1006.82,1.4,0.8
46121,1390.82,1388.56,6.9,2.3
46123,1617.57,1612.45,3.5,1.9
46125,617.69,617.06,13.5,6.4
46127,467.13,460.54,31.3,13.6
46129,744.62,708.63,7.7,4.2
46135,532.22,521.16,43.1,18.5
46137,1970.62,1961.27,1.4,0.5
47001,344.8,337.16,222.8,103.0
47003,474.79,473.64,95.1,38.8
47005,436.23,394.14,41.8,22.8
47007,406.75,406.42,31.7,14.1
47009,566.55,558.71,220.2,98.9
47011,331.45,328.76,301.0,125.9
47013,498.15,480.19,84.8,41.6
47015,265.7,265.64,52.0,22.7
47017,600.08,599.25,47.6,22.0
47019,347.63,341.2,168.3,81.3
47021,307.06,302.44,129.3,51.8
47023,285.96,285.74,60.0,24.4
47025,441.57,434.58,74.1,34.2
47027,259.34,236.54,33.2,18.1
47029,443.14,434.57,82.1,40.2
47031,434.55,428.96,123.1,54.6
47033,265.74,265.53,54.9,24.2
47035,684.82,681.03,82.3,41.3
47037,525.94,504.03,1243.3,563.4
47039,344.88,333.84,35.2,20.6
47041,328.99,304.35,61.5,30.9
47043,491.32,489.9,101.4,42.5
47045,526.53,512.33,74.8,32.6
47047,706.24,704.79,54.5,22.2
47049,498.93,498.61,36.0,18.0
47051,575.74,554.54,74.0,33.7
47053,603.65,602.74,82.4,36.5
47055,611.17,610.93,48.3,22.7
47057,302.46,280.6,80.7,38.8
47059,624.12,622.16,110.6,51.5
47061,361.12,360.53,38.0,17.7
47063,175.8,161.18,388.0,167.3
47065,575.88,542.43,620.3,278.6
47067,223.49,222.34,30.7,16.3
47069,670.38,667.77,40.8,16.2
47071,596.29,577.32,45.1,24.2
47073,499.6,486.98,116.7,55.2
47075,534.06,533.11,35.2,15.6
47077,525.88,520.07,53.4,24.6
47079,593.42,562.1,57.5,30.3
47081,612.63,612.5,40.3,16.8
47083,206.97,200.29,42.1,20.9
47085,556.7,530.98,34.9,16.7
47087,319.52,308.32,37.7,19.0
47089,314.3,274.08,187.6,85.7
47091,302.72,298.47,61.1,30.0
47093,525.87,508.22,850.5,383.6
47095,193.89,165.78,47.2,15.7
47097,507.58,471.99,58.9,23.8
47099,617.99,617.13,67.8,29.5
47101,282.49,282.09,43.1,19.4
47103,570.72,570.34,58.5,26.7
47105,247.37,229.22,211.8,94.8
47107,432.18,430.12,121.5,54.3
47109,563.61,562.86,46.3,21.2
47111,307.24,307.14,72.4,32.1
47113,558.63,557.12,176.4,75.2
47115,512.25,498.16,56.7,26.0
47117,376.16,375.46,81.5,34.9
47119,615.58,613.14,132.0,57.5
47121,216.75,195.12,60.2,28.8
47123,652.56,635.56,70.0,32.7
47125,543.83,539.18,319.6,130.0
47127,130.42,129.22,49.2,22.6
47129,522.49,522.18,42.1,17.1
47131,555.51,544.73,58.4,26.9
47133,434.83,433.48,50.9,23.7
47135,422.87,414.73,19.1,11.1
47137,174.49,162.98,31.2,21.2
47139,442.33,434.68,38.7,18.4
47141,402.56,401.1,180.3,79.5
47143,336.41,315.38,100.9,45.5
47145,394.98,360.71,150.2,71.3
47147,476.46,476.29,139.2,54.8
47149,624.05,619.36,424.0,166.2
47151,533.23,532.3,41.8,18.6
47153,266.04,265.86,53.1,24.0
47155,597.72,592.5,151.7,94.4
47157,785.02,763.17,1215.5,521.9
47159,325.37,314.29,61.0,27.1
47161,493.01,459.33,29.0,14.8
47163,429.71,413.36,379.4,178.4
47165,543.22,529.45,303.4,124.6
47167,473.31,458.37,133.3,50.6
47169,116.64,114.19,68.9,29.5
47171,186.49,186.17,98.4,47.4
47173,247.14,223.55,85.5,40.1
47175,274.53,273.42,20.3,9.7
47177,434.03,432.68,92.1,41.2
47179,329.8,326.46,376.7,175.4
47181,735.65,734.1,23.2,9.9
47183,581.78,580.36,60.3,26.7
47185,379.43,376.67,68.6,30.6
47187,583.77,582.6,314.4,117.6
47189,583.2,570.83,199.7,79.8
48001,1078.0,1062.6,55.0,18.9
48003,1501.08,1500.71,9.9,3.9
48005,864.71,797.78,108.8,44.6
48007,527.99,252.07,91.9,60.9
48009,925.42,903.11,10.0,4.5
48011,913.83,909.11,2.1,1.0
48013,1221.47,1219.54,36.8,14.5
48015,656.38,646.51,44.0,20.0
48017,827.48,826.8,8.7,3.4
48019,797.64,790.96,25.9,14.6
48021,895.55,888.15,83.5,33.0
48023,901.07,867.48,4.3,3.1
48025,880.33,880.24,36.2,12.1
48027,1087.84,1051.02,295.2,119.4
48029,1256.09,1239.82,1383.1,534.7
48031,713.43,709.25,14.8,7.8
48033,906.05,897.44,0.7,0.4
