,totalvotes,totalvotes,totalvotes,totalvotes,totalvotes,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue,Prop_Blue
year,2000,2004,2008,2012,2016,2000,2004,2008,2012,2016
FIPS,,,,,,,,,,
2028.0,11040.0,14577.0,9792.0,8449.0,11427.0,0.19166666666666668,0.3526788776840228,0.37193627450980393,0.2589655580542076,0.4155946442635862
2029.0,8823.0,12630.0,6962.0,8011.0,9394.0,0.31803241527825005,0.3599366587490103,0.3855214018960069,0.24129322181999752,0.22365339578454332
2030.0,6083.0,14273.0,9183.0,9505.0,8950.0,0.2791385829360513,0.36299306382680585,0.3796145050637047,0.37643345607574963,0.2029050279329609
2031.0,5965.0,15270.0,10220.0,9335.0,10182.0,0.30695725062866724,0.348068107400131,0.3518590998043053,0.5012319228709159,0.3404046356315066
2032.0,6033.0,16810.0,12307.0,9528.0,7472.0,0.23023371456986574,0.3914336704342653,0.4205736572682213,0.6223761544920235,0.36148286937901497
2033.0,8712.0,10938.0,8909.0,7471.0,9934.0,0.2025941230486685,0.2918266593527153,0.234481984510046,0.3635390175344666,0.6017716931749547
2034.0,7154.0,11353.0,9548.0,8637.0,9431.0,0.1817165222253285,0.26715405619660004,0.20108923334729786,0.5397707537339353,0.4474605025978157
2035.0,6382.0,11571.0,9503.0,6932.0,9042.0,0.1892823566280163,0.4347074583009247,0.44764811112280334,0.4082515868436238,0.4146206591462066
2036.0,5577.0,9241.0,6673.0,4972.0,8264.0,0.3487538102922718,0.3511524726761173,0.33927768619811177,0.6719629927594529,0.32587124878993223
2037.0,5028.0,5208.0,4665.0,4335.0,5062.0,0.36217183770883055,0.3782642089093702,0.4004287245444802,0.6069204152249135,0.4782694587119716
2038.0,4976.0,5075.0,4820.0,6814.0,5095.0,0.404943729903537,0.46620689655172415,0.5288381742738589,0.6018491341356031,0.5413150147203141
2039.0,5188.0,5568.0,5184.0,6560.0,5639.0,0.43986121819583657,0.42474856321839083,0.5198688271604939,0.555640243902439,0.5571909913105161
2040.0,3226.0,5788.0,5000.0,4235.0,4610.0,0.3174209547427154,0.40221147201105734,0.4274,0.6415584415584416,0.5071583514099783
2099.0,0.0,0.0,0.0,74045.0,5056.0,,,,,0.05419303797468354
4001.0,19456.0,24198.0,24262.0,25848.0,27661.0,0.6694592927631579,0.647078270931482,0.6343252823345149,0.6633782110801609,0.6175843245001988
4003.0,33241.0,44483.0,48820.0,49003.0,50015.0,0.40191329984055835,0.39372344491153927,0.38801720606308887,0.378466624492378,0.3488953314005798
4005.0,40883.0,52267.0,54344.0,51731.0,59784.0,0.4960497028104591,0.559492605276752,0.5784079199175622,0.5655603023332237,0.5420179312190553
4007.0,17736.0,20843.0,22333.0,21528.0,36697.0,0.4341452413170952,0.3988869164707576,0.3530201943312587,0.35753437383872166,0.19083303812300734
4009.0,9664.0,10720.0,12007.0,11855.0,20306.0,0.34716473509933776,0.2971082089552239,0.290413925210294,0.3044285111767187,0.1625627893233527
4011.0,2960.0,3067.0,2913.0,2974.0,5192.0,0.41081081081081083,0.3736550374959244,0.3999313422588397,0.44048419636852726,0.2103235747303544
4012.0,4483.0,5055.0,5552.0,5717.0,5951.0,0.3946018291322775,0.36577645895153316,0.3474423631123919,0.3288437991953822,0.2646614014451353
4013.0,901699.0,1192751.0,1364962.0,1376558.0,1567834.0,0.42883822650352277,0.4232643695121614,0.4411595341115723,0.4375318729759298,0.44832998901669435
4015.0,44141.0,57807.0,67605.0,70010.0,79943.0,0.39577716861874446,0.3546802290380058,0.32678056356778346,0.2790029995714898,0.21834306943697385
4017.0,25147.0,32343.0,35800.0,37335.0,40294.0,0.4690022666719688,0.4580589308351112,0.4351675977653631,0.45386366680058926,0.4084727254678116
4019.0,287640.0,366907.0,393428.0,382250.0,421640.0,0.5134473647615074,0.5263677171599342,0.5242484012322458,0.5264905166775671,0.5328265819182241
4021.0,41290.0,64622.0,104883.0,108315.0,129546.0,0.47590215548558973,0.4217139673795302,0.4219368248429202,0.40904768499284494,0.3696910749849474
4023.0,8893.0,11668.0,13303.0,13894.0,16433.0,0.5884403463398178,0.5921323277339733,0.6527099150567541,0.6827407514034836,0.7113734558510315
4025.0,68228.0,87389.0,99648.0,100283.0,114450.0,0.3526851146157003,0.3790751696437767,0.370193079640334,0.33822282939281834,0.3109654871122761
4027.0,28652.0,38465.0,43615.0,41953.0,53010.0,0.4207385173809856,0.41679448849603534,0.4255187435515304,0.4304578933568517,0.46415770609318996
5001.0,6372.0,6946.0,6978.0,6494.0,6212.0,0.4515065913370998,0.4477397063057875,0.3753224419604471,0.37804126886356637,0.312137797810689
5003.0,8271.0,8512.0,8642.0,7921.0,8083.0,0.5142062628460887,0.45594454887218044,0.34436473038648463,0.3609392753440222,0.2979091921316343
5005.0,16708.0,18530.0,19981.0,19339.0,19766.0,0.38999281781182665,0.3847274689692391,0.3272608978529603,0.2674388541289622,0.21091773752909035
5007.0,53646.0,68121.0,76073.0,79257.0,96824.0,0.3220556984677329,0.304693119596013,0.30669225612240875,0.28560253353016135,0.2892361398000496
5009.0,13635.0,14777.0,15474.0,15391.0,16111.0,0.3295196186285295,0.31400148880016243,0.28660979707897116,0.24507829250860894,0.18161504562100428
5011.0,3979.0,4249.0,4041.0,3652.0,3653.0,0.5332998240764011,0.519180983760885,0.41573867854491464,0.39676889375684554,0.36052559540104023
5013.0,2185.0,2303.0,2217.0,2174.0,2269.0,0.4654462242562929,0.4090316977854972,0.3116824537663509,0.30358785648574055,0.28162185985015425
5015.0,9590.0,10481.0,10579.0,10183.0,10758.0,0.3748696558915537,0.39700410266195973,0.39436619718309857,0.36295787096140625,0.31065253764640266
5017.0,4452.0,4757.0,5208.0,4361.0,4176.0,0.633423180592992,0.6291780533949969,0.5842933947772657,0.6074294886493924,0.5627394636015326
5019.0,8626.0,9189.0,9094.0,8409.0,8526.0,0.5403431486204499,0.5424964631624769,0.46921046844073017,0.45320489951242715,0.4245836265540699
5021.0,5900.0,6096.0,5511.0,5110.0,5200.0,0.5977966101694915,0.5354330708661418,0.40718562874251496,0.3401174168297456,0.23057692307692307
5023.0,10207.0,11835.0,11338.0,11647.0,12085.0,0.40364455765651025,0.3972961554710604,0.26027518080790263,0.22495063106379326,0.17385188249896566
5025.0,3181.0,3496.0,3505.0,3266.0,3354.0,0.44451430367808864,0.4147597254004577,0.2599144079885877,0.25872627066748316,0.21556350626118068
5027.0,9307.0,9909.0,9558.0,9455.0,8887.0,0.430106371548297,0.41457261075789686,0.3718351119481063,0.37620306716023266,0.3533250815798357
5029.0,7234.0,8649.0,8138.0,7730.0,7927.0,0.4832734310201825,0.4924268701583998,0.3869501105922831,0.388745148771022,0.3350573987637189
5031.0,25157.0,29801.0,30968.0,31700.0,35573.0,0.4919505505425925,0.4585416596758498,0.3646990441746319,0.3320820189274448,0.29623590925702076
5033.0,17625.0,20401.0,20532.0,20591.0,22450.0,0.3567659574468085,0.33155237488358413,0.25511396843950906,0.23704531105822932,0.1999109131403118
5035.0,13234.0,15300.0,18255.0,16716.0,15952.0,0.5458667069669034,0.5409803921568628,0.5658723637359627,0.5675400813591769,0.5272066198595787
5037.0,6215.0,7074.0,7130.0,6681.0,6874.0,0.49814963797264683,0.4431721798134012,0.36185133239831696,0.3411165993114803,0.29080593540878674
5039.0,3325.0,3383.0,3318.0,3084.0,2771.0,0.5142857142857142,0.4927579071829737,0.44333936106088007,0.4335278858625162,0.4204258390472754
5041.0,4495.0,4647.0,4678.0,4420.0,4257.0,0.617575083426029,0.613514095115128,0.5491663103890552,0.5527149321266969,0.5233732675593141
5043.0,5922.0,6249.0,6610.0,6633.0,6595.0,0.5167173252279635,0.4723955832933269,0.3930408472012103,0.3965023368008443,0.35860500379075055
5045.0,29216.0,36686.0,41179.0,41460.0,47527.0,0.4090224534501643,0.396281960420869,0.36317054809490273,0.3285335262904004,0.3078039851032045
5047.0,6140.0,7289.0,6475.0,6540.0,6770.0,0.43550488599348536,0.4126766360268898,0.28864864864864864,0.26391437308868504,0.20324963072378138
5049.0,4108.0,4955.0,4676.0,4522.0,4772.0,0.4810126582278481,0.4783047426841574,0.3890076988879384,0.32109685979655017,0.2235959765297569
5051.0,35935.0,40154.0,43719.0,40728.0,40805.0,0.4407958814526228,0.44927030930915973,0.36366339577757956,0.3389314476527205,0.3017032226442838
5053.0,6013.0,6770.0,6793.0,6479.0,7445.0,0.4215865624480293,0.372821270310192,0.22994258795819225,0.22657817564438956,0.18441907320349227
5055.0,12484.0,13947.0,13612.0,13761.0,14600.0,0.506167894905479,0.4704237470423747,0.3336027034969145,0.2906765496693554,0.21034246575342466
5057.0,7289.0,7452.0,7349.0,6921.0,7049.0,0.5401289614487584,0.5122114868491681,0.3903932507824194,0.35659586764918366,0.33721095190807204
5059.0,10981.0,12068.0,11955.0,11260.0,11944.0,0.503323923139969,0.48914484587338414,0.3586783772480134,0.3401420959147424,0.26364701942397856
5061.0,4459.0,4943.0,4846.0,4462.0,4674.0,0.46265978919040146,0.438195427877807,0.3602971522905489,0.3296727924697445,0.28904578519469404
5063.0,11594.0,13011.0,12299.0,12397.0,13614.0,0.44385026737967914,0.41833832910614094,0.2998617773802748,0.26466080503347583,0.21162039077420303
