,FIPS,JHU_Orig,JHU_Z_T,JHU_Z_L,JHU_N_T,JHU_N_L,NYT_F_Orig,NYT_F_Z_T,NYT_F_Z_L,NYT_F_N_T,NYT_F_N_L,NYT_F_N_L_L,NYT_W_Orig,NYT_W_Z_T,NYT_W_Z_L,NYT_W_N_T,NYT_W_N_L
420,13117.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
421,13119.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
422,13121.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,2.0,4.0,2.0,4.0
423,13123.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
424,13125.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
425,13127.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
426,13129.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,7.0,1.0,2.0,5.0,2.0,5.0
427,13131.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
428,13133.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,7.0,2.0,7.0
429,13135.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0
430,13137.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,5.0,2.0,5.0
431,13139.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0
432,13141.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
433,13143.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
434,13145.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
435,13147.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
436,13149.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
437,13151.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,7.0,2.0,7.0
438,13153.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,7.0,1.0,2.0,5.0,2.0,5.0
439,13155.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
440,13157.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
441,13159.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
442,13161.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
443,13163.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
444,13165.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
445,13167.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
446,13169.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
447,13171.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
448,13173.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
449,13175.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
450,13177.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
451,13179.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
452,13181.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
453,13183.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
454,13185.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
455,13187.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
456,13189.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
457,13191.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
458,13193.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
459,13195.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
460,13197.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
461,13199.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
462,13201.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
463,13205.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
464,13207.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
465,13209.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
466,13211.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
467,13213.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
468,13215.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,5.0,2.0,5.0
469,13217.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,7.0,1.0,2.0,5.0,2.0,5.0
470,13219.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
471,13221.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
472,13223.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,5.0,2.0,5.0
473,13225.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
474,13227.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
475,13229.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,1.0,2.0,7.0,2.0,7.0
476,13231.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
477,13233.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
478,13235.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
479,13237.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,5.0,2.0,5.0
480,13239.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
481,13241.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,7.0,2.0,7.0
482,13243.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,5.0,2.0,5.0
483,13245.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,7.0,1.0,2.0,5.0,2.0,5.0
484,13247.0,1.0,2.0,6.0,2.0,6.0,1.0,2.0,5.0,2.0,5.0,8.0,1.0,2.0,7.0,2.0,7.0
485,13249.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
486,13251.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0
