FIPS,staffed_beds,licensed_beds,icu_beds
20115,25,25,0
20117,23,25,0
20119,20,20,0
20121,104,245,106
20123,16,35,4
20125,47,47,7
20127,25,25,0
20129,26,28,0
20131,41,49,0
20133,22,25,5
20135,37,32,0
20137,25,25,0
20141,24,25,0
20143,25,25,0
20145,121,638,0
20147,25,25,0
20149,43,97,0
20151,35,35,6
20153,15,24,0
20155,137,209,18
20157,25,63,0
20159,25,25,0
20161,99,163,8
20163,16,25,0
20165,16,16,0
20167,19,25,0
20169,191,392,18
20171,25,25,0
20173,2072,2661,147
20175,71,69,8
20177,748,1043,36
20179,18,18,0
20181,21,25,0
20183,16,25,0
20185,25,25,0
20187,16,18,0
20189,17,25,0
20191,25,0,0
20193,21,25,1
20195,25,25,0
20201,50,50,0
20203,25,0,0
20205,40,49,0
20209,1059,1316,129
21003,25,25,0
21009,108,180,10
21013,87,216,7
21015,166,201,18
21017,34,58,4
21019,574,645,50
21021,170,197,22
21025,49,55,4
21027,25,25,0
21033,25,25,0
21035,99,152,10
21037,156,278,21
21041,25,25,0
21045,24,24,0
21047,431,786,18
21049,54,54,8
21051,49,0,6
21053,38,42,0
21055,48,48,0
21057,25,25,0
21059,507,527,32
21065,25,25,0
21067,2440,2449,248
21069,52,52,3
21071,177,50,16
21073,116,173,10
21081,15,25,0
21083,95,107,8
21085,75,75,6
21087,25,35,0
21093,428,480,10
21095,81,150,7
21097,61,61,6
21099,25,25,0
21101,118,192,12
21107,445,410,19
21111,3730,4468,355
21115,72,72,6
21117,1217,639,46
21121,25,25,6
21125,106,150,14
21127,65,90,6
21131,25,25,0
21133,90,90,6
21137,25,25,0
21139,25,25,0
21141,75,75,6
21145,573,1081,34
21151,85,130,12
21155,63,75,6
21157,25,25,4
21161,100,100,5
21167,25,25,4
21171,49,49,0
21173,42,42,4
21175,25,25,0
21177,47,90,6
21179,40,40,4
21183,25,25,4
21185,90,120,8
21193,229,358,32
21195,356,413,76
21199,230,283,38
21203,20,20,0
21205,90,149,14
21207,25,25,2
21209,75,75,6
21211,30,70,4
21213,25,25,0
21217,90,90,8
21221,25,25,0
21225,25,25,0
21227,639,733,32
21231,25,25,0
21235,280,273,0
21239,25,25,0
22001,171,170,4
22003,74,109,3
22005,151,131,7
22007,15,15,0
22009,92,69,2
22011,80,20,6
22013,21,21,0
22015,267,272,18
22017,1853,2099,94
22019,802,905,75
22021,77,87,0
22023,49,49,0
22027,37,47,4
22029,65,65,5
22031,34,34,0
22033,2355,2297,99
22035,23,23,0
22037,636,633,0
22039,223,285,24
22041,29,37,6
22045,317,269,11
22047,10,0,0
22049,25,25,0
22051,2463,2141,157
22053,92,65,5
22055,1379,1224,74
22057,178,240,21
22059,55,81,0
22061,258,238,17
22065,25,25,0
22067,109,119,6
22069,102,117,8
22071,1428,2009,62
22073,806,622,88
22077,25,26,0
22079,1438,1425,26
22081,37,37,0
22083,63,63,2
22085,48,48,0
22087,40,40,8
22089,39,59,8
22091,25,25,0
22093,44,44,0
22095,82,82,0
22097,517,257,22
22099,43,43,0
22101,152,186,15
22103,1237,1138,207
22105,536,536,64
22109,344,567,26
22111,35,35,0
22113,69,95,6
22115,126,112,7
22117,61,117,13
22119,171,219,16
22123,30,30,0
22125,25,25,0
22127,46,60,5
23001,361,483,34
23003,166,228,12
23005,1215,1184,50
23007,48,65,5
23009,98,114,6
23011,297,335,16
23013,81,109,8
23015,25,25,4
23017,50,75,4
23019,581,773,51
23021,50,25,0
23025,50,50,4
23027,25,25,4
23029,50,50,0
23031,206,287,14
24001,288,319,14
24003,483,673,50
24005,1739,1969,94
24005,3735,3816,377
24009,41,74,4
24013,675,668,12
24015,182,82,5
24017,98,109,10
24019,122,132,0
24021,281,257,18
24023,27,27,2
24025,231,257,19
24027,267,267,16
24029,21,26,6
24031,1716,1439,143
24033,490,654,78
24035,96,109,12
24041,48,120,16
24043,340,362,17
24045,418,348,24
24047,32,45,6
25001,410,407,21
25003,245,323,24
25005,1492,1322,96
25007,25,25,0
25009,1732,1173,98
25011,89,89,6
25013,1620,1626,83
25015,118,140,11
25017,4474,3756,206
25019,19,19,0
25021,1219,1095,59
25023,853,435,47
25025,5844,5363,453
25027,3234,2507,119
26003,11,11,0
26005,25,25,0
26007,128,124,9
26011,25,25,5
26013,15,15,0
26015,25,49,6
26017,328,387,32
26019,8,8,0
26021,311,335,20
26023,87,71,10
26025,262,298,32
26027,25,25,0
26029,25,25,0
26033,49,82,6
26035,49,49,0
26037,59,25,2
26039,49,71,6
26041,25,25,9
26043,56,49,6
26045,45,45,0
26047,187,202,18
26049,1047,1151,109
26051,25,25,0
26053,25,25,5
26055,409,425,20
26057,49,67,0
26059,44,65,4
26061,61,61,5
26063,98,98,4
26065,925,966,115
26067,25,0,2
26069,47,47,4
26071,25,25,3
26073,83,118,8
26075,469,389,34
26077,904,806,70
26079,8,8,0
26081,2502,1717,142
26087,183,183,10
26091,113,113,9
26093,142,177,8
26095,25,25,0
26097,15,15,0
26099,1362,1101,122
26101,45,45,0
26103,263,289,26
26105,45,49,6
26107,49,69,4
26111,324,324,26
26115,153,217,14
26117,109,126,12
26121,362,413,44
26123,25,25,9
26125,4188,4383,369
26127,24,24,0
26129,88,88,0
26131,25,25,0
26133,25,25,4
26137,46,46,4
26139,325,327,22
26145,1014,912,46
26147,372,375,23
26149,97,144,4
26151,65,65,0
26153,12,12,0
26155,133,129,7
26157,198,50,0
26159,74,74,0
26161,2176,1720,46
26163,5387,5921,411
26165,49,49,20
27001,25,25,4
27003,941,546,35
27005,36,87,8
27007,128,118,10
27011,40,40,0
27013,167,272,29
27015,40,78,0
27017,47,61,2
27019,109,109,18
27021,5,0,0
27023,25,30,0
27025,55,61,10
27029,25,25,0
27031,16,16,0
27033,26,26,0
27035,168,204,16
27037,179,207,12
27041,99,127,8
27043,24,43,4
27047,159,159,18
27049,65,65,4
27051,10,10,0
27053,3717,5441,215
27057,25,50,0
27059,70,86,0
27061,76,104,0
27063,14,20,0
27065,25,49,4
27067,81,136,8
27069,15,15,0
27071,18,25,0
27073,32,32,0
27075,16,25,0
27077,15,15,0
27079,9,15,0
27081,44,44,0
27083,50,74,0
27085,74,115,6
27087,10,18,0
27089,12,12,0
27091,55,57,0
27093,25,35,0
27095,61,82,4
27097,25,49,0
27099,80,0,0
27101,20,25,0
27103,65,17,0
27105,48,48,0
27107,14,14,0
27109,1986,2120,218
27111,121,133,5
27113,41,26,0
27115,9,30,0
27117,18,44,0
27119,54,92,5
27121,19,34,0
27123,1461,1899,115
27127,25,25,0
27129,16,16,0
27131,69,86,0
27133,25,28,0
27135,25,25,0
27137,1195,1121,78
27139,109,142,0
27141,16,0,0
27143,16,20,0
27145,535,575,42
27147,29,43,0
27149,25,49,0
27151,33,46,0
27153,14,34,0
27155,15,25,0
27157,32,43,0
27159,125,86,5
27161,15,35,0
27163,154,183,31
27165,50,50,0
27167,25,25,0
27169,49,49,8
27171,85,104,3
27173,47,55,0
28001,147,179,15
28003,163,200,24
28007,25,25,0
28011,152,164,8
28013,25,25,0
28017,39,84,0
28019,15,25,0
28021,22,32,0
28023,25,25,0
28025,49,49,6
28027,181,181,10
28029,25,0,0
28031,25,35,0
28033,470,514,8
28035,587,723,57
28037,24,25,0
28039,42,48,6
28041,7,7,0
28043,49,156,0
28045,47,102,6
28047,854,834,57
28049,2237,1876,149
28051,25,25,0
28059,571,571,48
28061,16,16,0
28063,12,30,0
28065,25,35,0
28067,268,285,14
28069,25,25,0
28071,169,217,24
28073,45,50,0
28075,767,787,39
28077,25,25,0
28079,25,25,0
28081,700,700,24
28083,173,208,9
28085,90,99,5
28087,158,315,18
28089,67,67,7
28091,49,49,6
28093,27,40,0
28095,120,130,9
28097,25,25,0
28099,83,73,0
28103,25,25,0
28105,88,96,6
28107,45,112,0
28109,73,84,6
28111,22,22,0
28113,177,191,16
28115,25,25,0
28117,39,114,0
28121,583,2030,18
28123,50,60,0
28125,19,29,0
28127,69,99,0
28129,19,29,0
28131,25,25,0
28133,126,84,0
28135,9,18,0
28139,25,25,0
28141,48,48,0
28145,92,153,8
28147,25,25,0
28149,336,396,22
28151,541,364,22
28153,49,80,6
28155,38,38,0
28157,16,25,0
28159,14,41,0
28161,26,26,0
28163,25,25,0
29001,51,93,10
29005,16,18,0
29007,40,88,0
29009,43,43,0
29011,25,25,4
29013,44,60,0
29019,1260,494,114
29021,501,393,21
29023,434,582,14
