,Date,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,FIPS
225,2020-04-05,-41.0,-20.0,,,-30.0,18.0,42005
226,2020-04-11,-35.0,5.0,,,-33.0,24.0,42005
227,2020-03-29,-28.0,9.0,-4.0,,-18.0,16.0,23003
228,2020-04-05,-38.0,-3.0,-33.0,,-23.0,18.0,23003
229,2020-04-11,-43.0,9.0,-37.0,,-23.0,24.0,23003
230,2020-03-29,-45.0,-21.0,,,-34.0,15.0,22005
231,2020-04-05,-46.0,-7.0,,,-36.0,16.0,22005
232,2020-04-11,-46.0,4.0,,,-36.0,15.0,22005
233,2020-03-29,-5.0,1.0,,,-29.0,,37009
234,2020-04-05,-28.0,-14.0,,,-40.0,,37009
235,2020-04-11,-28.0,-14.0,,,-29.0,,37009
236,2020-03-29,-38.0,-12.0,,,-28.0,19.0,39005
237,2020-04-05,-43.0,-3.0,,,-36.0,18.0,39005
238,2020-04-11,-36.0,8.0,,,-40.0,23.0,39005
239,2020-03-29,-54.0,-44.0,,,-37.0,,55003
240,2020-04-05,-38.0,-15.0,,,-35.0,,55003
241,2020-04-11,-38.0,-15.0,,,-24.0,,55003
242,2020-03-29,-24.0,-4.0,,,-27.0,,5003
243,2020-04-05,-32.0,6.0,,,-21.0,,5003
244,2020-04-11,-32.0,6.0,,,-13.0,,5003
245,2020-03-29,-28.0,-11.0,-1.0,-23.0,-22.0,8.0,39007
246,2020-04-05,-34.0,-10.0,125.0,-27.0,-23.0,9.0,39007
247,2020-04-11,-29.0,8.0,81.0,-28.0,-29.0,11.0,39007
248,2020-03-29,-33.0,,,,-31.0,7.0,53003
249,2020-04-05,-30.0,,,,-22.0,7.0,53003
250,2020-04-11,-24.0,,,,-29.0,7.0,53003
251,2020-03-29,,-8.0,,,-36.0,,22007
252,2020-04-05,,-3.0,,,-27.0,,22007
253,2020-04-11,,-3.0,,,-31.0,,22007
254,2020-03-29,-23.0,-24.0,,-65.0,-24.0,17.0,48013
255,2020-04-05,-29.0,-19.0,,-70.0,-27.0,20.0,48013
256,2020-04-11,-22.0,-4.0,,-50.0,-25.0,22.0,48013
257,2020-03-29,-24.0,,,,-27.0,,20005
258,2020-04-05,-20.0,,,,-24.0,,20005
259,2020-04-11,-20.0,,,,-29.0,,20005
260,2020-03-29,-50.0,-20.0,,,-44.0,20.0,39009
261,2020-04-05,-55.0,-23.0,,,-46.0,18.0,39009
262,2020-04-11,-53.0,-6.0,,,-39.0,18.0,39009
263,2020-03-29,-29.0,12.0,,,-26.0,,13003
264,2020-04-05,-55.0,8.0,,,-35.0,,13003
265,2020-04-11,-55.0,8.0,,,-37.0,,13003
266,2020-03-29,-56.0,-30.0,11.0,-72.0,-55.0,16.0,34001
267,2020-04-05,-67.0,2.0,53.0,-66.0,-56.0,15.0,34001
268,2020-04-11,-60.0,6.0,56.0,-62.0,-56.0,17.0,34001
269,2020-03-29,-19.0,-19.0,,-26.0,-27.0,,40005
270,2020-04-05,-31.0,-24.0,,-38.0,-30.0,,40005
271,2020-04-11,-31.0,-24.0,,-33.0,-28.0,,40005
272,2020-03-29,-10.0,11.0,,,-20.0,,28007
273,2020-04-05,-27.0,-11.0,,,-29.0,,28007
274,2020-04-11,-27.0,-11.0,,,-37.0,,28007
275,2020-03-29,-29.0,-9.0,,,-20.0,6.0,29007
276,2020-04-05,-28.0,2.0,,,-24.0,6.0,29007
277,2020-04-11,-28.0,2.0,,,-23.0,6.0,29007
278,2020-03-29,,,,,-28.0,,19009
279,2020-04-05,,,,,-28.0,,19009
280,2020-04-11,,,,,-28.0,,19009
281,2020-03-29,-49.0,-19.0,,,-27.0,23.0,39011
282,2020-04-05,-45.0,-15.0,,,-31.0,20.0,39011
283,2020-04-11,-39.0,-3.0,,,-28.0,22.0,39011
284,2020-03-29,-39.0,-16.0,-22.0,52.0,-22.0,8.0,51015
