,Parks,Parks,Parks
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
18019,64.0,60.0,101.0
18021,,,
18023,,,
18025,,,
18027,,,
18029,,,
18031,,,
18033,,,
18035,,,
18037,,,
18039,18.0,17.0,23.0
18041,,,
18043,,,
18045,,,
18047,,,
18049,,,
18051,,,
18053,,,
18055,,,
18057,38.0,59.0,111.0
18059,,,
18061,,,
18063,-13.0,-13.0,-13.0
18065,,,
18067,,,
18069,,,
18071,,,
18073,,,
18075,,,
18077,,,
18079,,,
18081,-5.0,-11.0,0.0
18083,,,
18085,,,
18089,-18.0,-5.0,18.0
18093,,,
18095,,,
18097,17.0,15.0,50.0
18099,,,
18101,,,
18103,,,
18105,39.0,35.0,35.0
18107,,,
18109,,,
18111,,,
18113,,,
18115,,,
18117,,,
18119,,,
18121,,,
18123,,,
18125,,,
18127,20.0,120.0,160.0
18129,,,
18131,,,
18133,,,
18135,,,
18137,,,
18139,,,
18141,-17.0,142.0,104.0
18143,,,
18145,,,
18147,,,
18149,,,
18151,,,
18153,,,
18155,,,
18157,5.0,82.0,39.0
18159,,,
18161,,,
18163,-16.0,29.0,29.0
18165,,,
18167,-12.0,-7.0,-7.0
18169,,,
18171,,,
18173,,,
18175,,,
18177,,,
18179,,,
18181,,,
18183,,,
19001,,,
19005,,,
19007,,,
19009,,,
19011,,,
19013,11.0,-25.0,-15.0
19015,,,
19017,,,
19019,,,
19021,,,
19023,,,
19025,,,
19027,,,
19029,,,
19031,,,
19033,,,
19035,,,
19037,,,
19039,,,
19041,,,
19043,,,
19045,,,
19047,,,
19049,,,
19051,,,
19053,,,
19055,,,
19057,,,
19059,-50.0,0.0,12.0
19061,-25.0,1.0,-12.0
19063,,,
19065,,,
19067,,,
19069,,,
19071,,,
19073,,,
19075,,,
19077,,,
19079,,,
19081,,,
19083,,,
19085,,,
19087,,,
19089,,,
19091,,,
19093,,,
19095,,,
19097,,,
19099,,,
19101,,,
19103,-6.0,-26.0,35.0
19105,,,
19107,,,
19109,,,
19111,,,
19113,2.0,172.0,37.0
19115,,,
19117,,,
19119,,,
19121,,,
19123,,,
19125,,,
19127,,,
19129,,,
19131,,,
19133,,,
19135,,,
19137,,,
19139,,,
19141,,,
19143,,,
19145,,,
19147,,,
19149,,,
19151,,,
19153,66.0,150.0,27.0
19155,14.0,93.0,53.0
19157,,,
19161,,,
19163,-1.0,137.0,30.0
19165,,,
19167,,,
19169,,,
19171,,,
19173,,,
19175,,,
19177,,,
19179,,,
19181,,,
19183,,,
19185,,,
19187,,,
19189,,,
19191,,,
19193,,,
19195,,,
19197,,,
20001,,,
20003,,,
20005,,,
20009,,,
20011,,,
20013,,,
20015,-46.0,-46.0,
20021,,,
20027,,,
20029,,,
20031,,,
20035,,,
20037,,,
20041,,,
20043,,,
20045,88.0,57.0,110.0
20051,,,
20053,,,
20055,,,
20057,,,
20059,,,
20061,,,
20067,,,
20073,,,
20077,,,
20079,,,
20085,,,
20087,,,
20091,192.0,142.0,148.0
20095,,,
20099,,,
20103,,,
20107,,,
20111,,,
20113,,,
20115,,,
20117,,,
20121,,,
20123,,,
20125,,,
20127,,,
20131,,,
20133,,,
20139,,,
20143,,,
20145,,,
20149,,,
20151,,,
20155,,,
20159,,,
20161,-50.0,-50.0,-50.0
20167,,,
20169,-7.0,-7.0,-7.0
20171,,,
20173,76.0,5.0,40.0
20175,,,
20177,55.0,25.0,104.0
20181,,,
20189,,,
20191,,,
20193,,,
20195,,,
20197,,,
20201,,,
20205,,,
20209,53.0,68.0,49.0
21001,,,
21003,,,
21005,,,
21007,,,
21009,,,
21011,,,
21013,,,
21015,53.0,47.0,31.0
21017,,,
21019,,,
21021,,,
21023,,,
21025,,,
21027,,,
21029,,,
21031,,,
21033,,,
21035,,,
21037,,,
21039,,,
21041,,,
21043,,,
21045,,,
21047,,,
21049,,,
21051,,,
21053,,,
21055,,,
21059,39.0,34.0,26.0
21061,,,
21065,,,
21067,57.0,21.0,5.0
21069,,,
21071,,,
21073,,,
21075,,,
21077,,,
21079,,,
21081,,,
21083,,,
21085,,,
21087,,,
21089,,,
21091,,,
21093,,,
21095,,,
21097,,,
21099,,,
21101,,,
21103,,,
21107,,,
21109,,,
21111,83.0,71.0,104.0
21113,,,
21115,,,
21117,108.0,49.0,37.0
21119,,,
21121,,,
21123,,,
21125,61.0,71.0,57.0
21127,,,
21133,,,
21135,,,
21137,,,
21139,,,
21141,,,
21143,,,
21145,-24.0,-22.0,-25.0
21147,,,
21149,,,
21151,,,
21155,,,
21157,,,
21161,,,
21163,,,
21165,,,
21167,,,
21169,,,
21171,,,
21173,,,
21175,,,
21177,,,
21179,,,
21181,,,
21183,,,
21185,,,
21187,,,
21191,,,
21193,,,
21195,,,
21197,,,
21199,,,
21203,,,
21205,,,
21207,,,
21209,,,
21211,,,
21213,,,
21215,,,
21217,,,
21219,,,
21221,,,
21223,,,
21225,,,
21227,-26.0,-14.0,-43.0
21229,,,
21231,,,
21233,,,
21235,,,
21237,,,
21239,,,
22001,,,
22003,,,
22005,,,
22007,,,
22009,,,
22011,,,
22013,,,
22015,4.0,-8.0,-13.0
22017,-14.0,-29.0,-43.0
22019,-6.0,-18.0,-31.0
22021,,,
22023,,,
22025,,,
22027,,,
22029,,,
22031,,,
22033,-26.0,-20.0,-28.0
22037,,,
22039,,,
22041,,,
22043,,,
22045,-30.0,-34.0,-28.0
22047,,,
22049,,,
22051,-1.0,-12.0,-35.0
22053,,,
22055,15.0,14.0,-21.0
22057,,,
22059,,,
22061,,,
22063,-13.0,6.0,-32.0
22065,,,
22067,,,
22069,,,
22071,-55.0,-52.0,-62.0
22073,-24.0,-66.0,-7.0
22075,-31.0,-31.0,-33.0
22077,,,
22079,-2.0,-21.0,-39.0
22081,,,
22083,,,
22085,,,
22087,-21.0,-16.0,-19.0
22089,,,
22091,,,
22093,,,
22095,-67.0,-62.0,-62.0
22097,,,
22099,-10.0,-10.0,-16.0
22101,,,
22103,3.0,-7.0,-15.0
22105,-20.0,-34.0,-20.0
22109,25.0,21.0,-8.0
22111,,,
22113,,,
22115,,,
22117,,,
22119,,,
22121,,,
22123,,,
22125,,,
22127,,,
23001,-26.0,24.0,-33.0
23003,-4.0,-33.0,-37.0
23005,-38.0,28.0,30.0
23007,,-42.0,-50.0
23009,15.0,-26.0,0.0
23011,-37.0,12.0,-47.0
23013,,,
23015,,,
23017,-55.0,30.0,-19.0
23019,4.0,15.0,-27.0
23021,,,
23023,,,
23025,-9.0,0.0,-31.0
23027,,,
23029,,,
23031,-48.0,10.0,20.0
24001,-8.0,-33.0,-55.0
24003,33.0,41.0,25.0
24005,10.0,61.0,63.0
24009,33.0,2.0,16.0
24011,,,
24013,10.0,57.0,66.0
24015,-34.0,22.0,66.0
24017,-42.0,-42.0,-42.0
24019,,,
24021,19.0,33.0,36.0
24023,,,
24025,50.0,107.0,99.0
24027,7.0,38.0,28.0
24029,,,
24031,44.0,42.0,32.0
24033,37.0,23.0,14.0
24035,-36.0,-7.0,-28.0
24037,32.0,-6.0,-1.0
24039,,,
24041,,,
24043,28.0,34.0,64.0
24045,,,
24047,-24.0,-35.0,-37.0
25001,-38.0,61.0,93.0
25003,-36.0,60.0,-24.0
25005,-44.0,43.0,49.0
25007,,,
25009,-53.0,32.0,59.0
25011,-37.0,-37.0,-37.0
25013,-46.0,37.0,39.0
25015,-45.0,78.0,22.0
25017,-62.0,16.0,25.0
25019,,,
25021,-57.0,53.0,87.0
25023,-34.0,95.0,101.0
25025,-68.0,-28.0,-26.0
25027,-60.0,33.0,46.0
26001,,,
26003,-54.0,-49.0,-14.0
26005,-21.0,-21.0,
26007,,,
26009,,,
26011,,,
26013,,,
26015,,,
26017,-23.0,-23.0,-23.0
26019,,,
26021,31.0,108.0,123.0
26023,,,
26025,-13.0,56.0,30.0
26027,,,
26029,-34.0,-51.0,25.0
26031,,,
26033,-47.0,-50.0,-50.0
26035,,,
26037,,,
26039,,,
26041,,,
26043,,,
26045,,,
26047,,,
26049,6.0,66.0,94.0
26051,,,
26053,,,
26055,-8.0,86.0,80.0
26057,,,
26059,,,
26061,-59.0,-24.0,-29.0
26063,,,
26065,13.0,115.0,104.0
26067,,,
26069,,,
26071,,,
26073,,,
26075,-7.0,-7.0,-7.0
26077,15.0,180.0,100.0
26079,,,
26081,-26.0,122.0,61.0
26085,,,
26087,-38.0,-22.0,-32.0
26089,,,
26091,,,
26093,11.0,34.0,19.0
26095,,,
26097,,,
26099,106.0,137.0,125.0
26101,,,
26103,-40.0,24.0,1.0
26105,,,
26107,,,
26109,,,
26111,-15.0,12.0,-14.0
26113,,,
26115,52.0,71.0,58.0
26117,,,
26119,,,
26121,15.0,30.0,136.0
26123,40.0,44.0,88.0
26125,31.0,83.0,63.0
26127,-26.0,13.0,9.0
26129,,,
26131,,,
26133,,,
26135,,,
26137,,,
