,fips,pclon10,pclat10
429,13081,-83.77779100000001,31.947962
430,13083,-85.497004,34.882709000000006
431,13085,-84.104119,34.401379999999996
432,13087,-84.57036,30.888345
433,13089,-84.248029,33.789813
434,13091,-83.175591,32.212815
435,13093,-83.784195,32.16758
436,13095,-84.167625,31.573426
437,13097,-84.73464399999999,33.724923
438,13099,-84.916722,31.331726
439,13101,-83.057989,30.708629
440,13103,-81.299511,32.291745
441,13105,-82.87952299999999,34.126521000000004
442,13107,-82.307952,32.58586
443,13109,-81.90736700000001,32.169649
444,13111,-84.313402,34.901383
445,13113,-84.512414,33.427941
446,13115,-85.183164,34.255796000000004
447,13117,-84.144322,34.19492
448,13119,-83.186079,34.377334999999995
449,13121,-84.39364499999999,33.836086
450,13123,-84.483646,34.677248999999996
451,13125,-82.609847,33.235927000000004
452,13127,-81.486488,31.202697999999998
453,13129,-84.908795,34.498326
454,13131,-84.214288,30.882764
455,13133,-83.166093,33.549876
456,13135,-84.057963,33.951956
457,13137,-83.54162600000001,34.56516
458,13139,-83.844712,34.275205
459,13141,-83.00204699999999,33.255825
460,13143,-85.18547,33.76192
461,13145,-84.895034,32.699933
462,13147,-82.96495300000001,34.355413
463,13149,-85.1134,33.309334
464,13151,-84.175416,33.475842
465,13153,-83.66335699999999,32.571603
466,13155,-83.280834,31.604646999999996
467,13157,-83.584805,34.132059000000005
468,13159,-83.72434100000001,33.356251
469,13161,-82.600696,31.848776
470,13163,-82.407657,33.063551000000004
471,13165,-81.950133,32.794618
472,13167,-82.679535,32.701199
473,13169,-83.54514,32.962134000000006
474,13171,-84.1544,33.080020000000005
475,13173,-83.090886,31.035393
476,13175,-82.92613100000001,32.516487
477,13177,-84.173396,31.681194
478,13179,-81.578482,31.827765999999997
479,13181,-82.44638,33.781126
480,13183,-81.733663,31.778807
481,13185,-83.280221,30.857006
482,13187,-83.986879,34.524951
483,13189,-82.46986600000001,33.459617
484,13191,-81.407579,31.47526
485,13193,-84.038814,32.325041999999996
486,13195,-83.24068,34.104614
487,13197,-84.523557,32.380907
488,13199,-84.67284599999999,33.008863
489,13201,-84.73719799999999,31.159722
490,13205,-84.172094,31.216853000000004
491,13207,-83.906823,33.038194
492,13209,-82.533261,32.167319
493,13211,-83.485957,33.600243
494,13213,-84.792066,34.782329
495,13215,-84.930634,32.492289
496,13217,-83.896609,33.569520000000004
497,13219,-83.45794599999999,33.875278
498,13221,-83.14492,33.916594
499,13223,-84.816609,33.905688
500,13225,-83.82958,32.584826
501,13227,-84.442301,34.455892
502,13229,-82.240429,31.314668
503,13231,-84.366796,33.103227000000004
504,13233,-85.176771,34.010878000000005
505,13235,-83.48034200000001,32.275344
506,13237,-83.339663,33.317059
507,13239,-85.077727,31.859377000000002
508,13241,-83.407223,34.87903
509,13243,-84.758026,31.760403000000004
510,13245,-82.049444,33.426859
511,13247,-84.020894,33.642043
512,13249,-84.306781,32.241549
513,13251,-81.627328,32.722842
514,13253,-84.868027,30.972496000000003
515,13255,-84.273339,33.258051
516,13257,-83.28868100000001,34.556903999999996
517,13259,-84.76451899999999,32.069334999999995
518,13261,-84.221818,32.059981
519,13263,-84.582116,32.703124
520,13265,-82.88576,33.5688
521,13267,-82.052217,32.043908
522,13269,-84.21508299999999,32.560542
523,13271,-82.892471,32.01562
524,13273,-84.42886,31.772157
525,13275,-83.948411,30.868962
526,13277,-83.515048,31.454362
