,Workplaces,Workplaces,Workplaces
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
19033,-29.0,-26.0,-29.0
19035,-20.0,-33.0,-32.0
19037,-25.0,-27.0,-39.0
19039,-17.0,-24.0,-27.0
19041,-17.0,-26.0,-20.0
19043,-19.0,-26.0,-19.0
19045,-24.0,-28.0,-26.0
19047,-23.0,-15.0,-27.0
19049,-34.0,-37.0,-32.0
19051,-21.0,-23.0,-31.0
19053,-25.0,-20.0,-29.0
19055,-22.0,-13.0,-15.0
19057,-24.0,-27.0,-23.0
19059,-20.0,-31.0,-31.0
19061,-34.0,-31.0,-37.0
19063,-32.0,-33.0,-49.0
19065,-20.0,-24.0,-21.0
19067,-16.0,-18.0,-8.0
19069,-25.0,-32.0,-31.0
19071,-15.0,-31.0,-35.0
19073,-31.0,-38.0,-40.0
19075,-29.0,-33.0,-44.0
19077,-34.0,-36.0,-34.0
19079,-6.0,6.0,-6.0
19081,-34.0,-37.0,-44.0
19083,-25.0,-30.0,-17.0
19085,-19.0,-11.0,-17.0
19087,-30.0,-18.0,-21.0
19089,-21.0,-30.0,-46.0
19091,-32.0,-36.0,-46.0
19093,-22.0,-27.0,-25.0
19095,-41.0,-36.0,-31.0
19097,-24.0,-20.0,-25.0
19099,-22.0,-21.0,-28.0
19101,-34.0,-20.0,-27.0
19103,-36.0,-38.0,-37.0
19105,-30.0,-20.0,-21.0
