FIPS,03/29/20_residential,04/05/20_residential,03/29/20_workplaces,04/05/20_workplaces,03/29/20_transit,04/05/20_transit,03/29/20_parks,04/05/20_parks,03/29/20_grocery,04/05/20_grocery,03/29/20retail,04/05/20retail
6021,2.0,2.0,-36.0,-33.0,-20.0,-27.0,-11.0,-36.0,-14.0,25.0,-23.0,-54.0
6023,11.0,12.0,-35.0,-38.0,-48.0,-58.0,-10.0,-29.0,-23.0,-25.0,-48.0,-49.0
6025,16.0,17.0,-32.0,-35.0,-62.0,-64.0,-65.0,-74.0,-31.0,-29.0,-53.0,-57.0
6027,,,-39.0,-49.0,,,-35.0,-54.0,-37.0,-37.0,-75.0,-81.0
6029,11.0,11.0,-30.0,-32.0,-37.0,-40.0,-16.0,-27.0,-17.0,-13.0,-43.0,-43.0
6031,10.0,11.0,-27.0,-28.0,-43.0,-59.0,-12.0,-52.0,-14.0,-12.0,-34.0,-36.0
6033,16.0,15.0,-33.0,-38.0,-42.0,-32.0,-42.0,-49.0,-13.0,-2.0,-38.0,-39.0
6035,,,-22.0,-19.0,,,,,-8.0,-3.0,-30.0,-37.0
6037,17.0,17.0,-41.0,-43.0,-54.0,-57.0,-48.0,-59.0,-27.0,-27.0,-51.0,-53.0
6039,11.0,12.0,-30.0,-34.0,-30.0,-28.0,-20.0,-59.0,-25.0,-30.0,-39.0,-47.0
6041,17.0,18.0,-42.0,-47.0,-61.0,-65.0,-59.0,-70.0,-30.0,-38.0,-61.0,-64.0
6043,,,-45.0,-53.0,,,-72.0,-87.0,-23.0,-54.0,-75.0,-86.0
6045,17.0,16.0,-32.0,-34.0,-44.0,-56.0,-39.0,-51.0,-29.0,-26.0,-47.0,-46.0
6047,11.0,13.0,-26.0,-31.0,-37.0,-48.0,-1.0,-60.0,-18.0,-24.0,-34.0,-44.0
6049,,,-26.0,-26.0,,,,,-9.0,4.0,-59.0,-59.0
6051,,,-73.0,-73.0,,,-57.0,-61.0,-60.0,-67.0,-100.0,-100.0
6053,14.0,16.0,-43.0,-46.0,-45.0,-50.0,-48.0,-79.0,-19.0,-29.0,-46.0,-53.0
6055,18.0,19.0,-51.0,-52.0,-45.0,-55.0,-24.0,-52.0,-34.0,-37.0,-53.0,-59.0
6057,15.0,17.0,-41.0,-48.0,-73.0,-83.0,-48.0,-70.0,-26.0,-38.0,-56.0,-66.0
6059,17.0,18.0,-44.0,-46.0,-55.0,-59.0,-31.0,-53.0,-24.0,-26.0,-52.0,-55.0
6061,13.0,15.0,-44.0,-48.0,-55.0,-70.0,-2.0,-69.0,-27.0,-42.0,-52.0,-62.0
6063,,,-25.0,-36.0,,,,,-8.0,-18.0,-30.0,-64.0
6065,14.0,15.0,-39.0,-41.0,-41.0,-45.0,-44.0,-60.0,-20.0,-21.0,-43.0,-46.0
6067,13.0,15.0,-37.0,-42.0,-57.0,-68.0,-1.0,-58.0,-21.0,-27.0,-45.0,-52.0
6069,23.0,22.0,-32.0,-38.0,,,-36.0,-76.0,-25.0,-33.0,-45.0,-54.0
6071,14.0,14.0,-34.0,-36.0,-42.0,-46.0,-36.0,-49.0,-23.0,-21.0,-45.0,-46.0
6073,15.0,16.0,-41.0,-43.0,-64.0,-69.0,-51.0,-70.0,-26.0,-28.0,-50.0,-54.0
6075,21.0,22.0,-53.0,-54.0,-66.0,-70.0,-55.0,-65.0,-37.0,-41.0,-75.0,-77.0
6077,12.0,14.0,-30.0,-36.0,-31.0,-45.0,-16.0,-58.0,-16.0,-21.0,-41.0,-49.0
6079,13.0,16.0,-45.0,-48.0,-58.0,-73.0,-27.0,-77.0,-29.0,-39.0,-56.0,-65.0
6081,19.0,20.0,-46.0,-50.0,-83.0,-86.0,-35.0,-63.0,-26.0,-32.0,-60.0,-65.0
6083,13.0,16.0,-40.0,-45.0,-51.0,-63.0,-30.0,-67.0,-17.0,-26.0,-47.0,-55.0
6085,17.0,19.0,-48.0,-52.0,-71.0,-78.0,-22.0,-70.0,-33.0,-45.0,-62.0,-68.0
6087,15.0,18.0,-41.0,-45.0,-57.0,-68.0,-40.0,-75.0,-27.0,-37.0,-55.0,-65.0
6089,9.0,10.0,-31.0,-35.0,-22.0,-34.0,-21.0,-41.0,-15.0,-11.0,-39.0,-42.0
6093,13.0,10.0,-25.0,-28.0,9.0,-25.0,-6.0,-20.0,-20.0,-17.0,-35.0,-39.0
6095,13.0,14.0,-34.0,-36.0,-37.0,-48.0,-18.0,-52.0,-21.0,-23.0,-45.0,-52.0
6097,15.0,15.0,-41.0,-43.0,-54.0,-55.0,-58.0,-61.0,-22.0,-24.0,-53.0,-54.0
6099,11.0,13.0,-29.0,-35.0,-28.0,-41.0,-12.0,-62.0,-19.0,-25.0,-44.0,-53.0
6101,13.0,15.0,-34.0,-43.0,-43.0,-50.0,-28.0,-47.0,-18.0,-21.0,-41.0,-47.0
6103,15.0,13.0,-27.0,-31.0,-22.0,-27.0,-9.0,-31.0,-9.0,-5.0,-34.0,-39.0
6105,,,-28.0,-32.0,,,,,-20.0,0.0,-65.0,-39.0
6107,11.0,11.0,-25.0,-29.0,-28.0,-33.0,-27.0,-50.0,-13.0,-12.0,-39.0,-41.0
6109,14.0,12.0,-38.0,-44.0,,,-67.0,-83.0,-17.0,-31.0,-48.0,-57.0
6111,14.0,15.0,-39.0,-39.0,-40.0,-50.0,-24.0,-56.0,-24.0,-29.0,-46.0,-50.0
6113,13.0,16.0,-37.0,-43.0,-34.0,-47.0,2.0,-48.0,-23.0,-28.0,-43.0,-51.0
6115,13.0,14.0,-38.0,-41.0,-34.0,-37.0,24.0,-37.0,-12.0,-15.0,-34.0,-41.0
8001,13.0,12.0,-36.0,-36.0,-30.0,-24.0,-12.0,10.0,-25.0,-15.0,-49.0,-43.0
8003,,,-28.0,-17.0,,,,,-28.0,-15.0,-44.0,-40.0
