,FIPS,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline,workplaces_percent_change_from_baseline
Date,,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
2500,50003,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,-1.0,4.0,1.0,0.0,1.0,0.0,-3.0,-8.0,-3.0,-9.0,-19.0,-25.0,-29.0,-32.0,-34.0,-25.0,-31.0,-40.0,-46.0,-46.0,-47.0,-46.0,-38.0,-40.0,-46.0,-47.0,-48.0,-47.0,-47.0,-39.0,-43.0,-47.0,-48.0,-48.0,-48.0,-48.0,-37.0,2.0,5.0,-20.0,4.0,2.0,2.0,6.0,6.0,5.0,6.0
2501,50005,5.0,3.0,3.0,5.0,5.0,8.0,3.0,4.0,1.0,0.0,2.0,0.0,5.0,-6.0,3.0,2.0,0.0,1.0,-2.0,-3.0,-11.0,-19.0,-27.0,-30.0,-30.0,-30.0,-32.0,-39.0,-46.0,-46.0,-47.0,-48.0,-49.0,-52.0,-46.0,-46.0,-47.0,-48.0,-47.0,-49.0,-50.0,-44.0,-46.0,-47.0,-48.0,-46.0,-45.0,-2.0,-5.0,-26.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0
2502,50007,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,-2.0,2.0,1.0,0.0,-1.0,-13.0,-5.0,-11.0,-19.0,-24.0,-27.0,-29.0,-30.0,-18.0,-25.0,-35.0,-39.0,-40.0,-41.0,-41.0,-26.0,-32.0,-40.0,-40.0,-41.0,-41.0,-41.0,-28.0,-33.0,-41.0,-42.0,-42.0,-43.0,-44.0,-28.0,1.0,-1.0,-27.0,0.0,5.0,0.0,2.0,-1.0,2.0,4.0
2503,50009,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,-1.0,-8.0,,,,3.0,-1.0,3.0,1.0,5.0,,,3.0,1.0,7.0,5.0,1.0,,,1.0,5.0,1.0,8.0,4.0,
2504,50011,-3.0,-19.0,-21.0,-25.0,-26.0,-20.0,-7.0,-12.0,-31.0,-36.0,-33.0,-37.0,-34.0,-20.0,-23.0,-35.0,-36.0,-35.0,-38.0,-33.0,-21.0,-27.0,-35.0,-36.0,-35.0,-38.0,-34.0,-17.0,-4.0,-1.0,-30.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,-5.0,3.0,1.0,1.0,2.0,1.0,0.0,-2.0,-4.0
2505,50013,,,-9.0,-17.0,-23.0,-26.0,-28.0,,,-29.0,-20.0,-27.0,-35.0,-40.0,,,-42.0,-42.0,-42.0,-31.0,-34.0,,,-42.0,-43.0,-43.0,-43.0,-42.0,,,-32.0,-34.0,-42.0,-43.0,-43.0,,,-44.0,-43.0,-30.0,-4.0,-1.2994112777596387,,,-25.0,5.0,1.0,-1.0,15.0,,,2.0,-0.35806262314651577,-3.0,2.0,2.0,
2506,50015,3.0,-5.0,-4.0,2.0665690486704076,1.0,4.0,6.0,1.0,-2.0,2.0,-0.49120072048733115,0.0,2.0,5.0,4.0,-4.0,-6.0,-14.0,-17.0,-22.0,-19.0,-22.0,-13.0,-4.0,-16.0,-24.0,-27.0,-27.0,-23.0,-22.0,-13.0,-19.0,-28.0,-32.0,-28.0,-30.0,-21.0,-19.0,-28.0,-26.0,-28.0,-25.0,-28.0,-21.0,-21.0,-3.0,2.0,-25.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0
2507,50017,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,-2.0,-9.973600828387703,-5.0,-10.0,-11.0,-8.0,-28.0,-37.0,-21.697657334400464,-40.0,-43.0,-43.0,-31.0,-34.0,-49.0,-22.363474679261444,-54.0,-55.0,-56.0,-55.0,-42.0,-41.0,-24.215016053838973,-55.0,-57.0,-57.0,-58.0,-56.0,-43.0,-20.60448472421438,-43.0,-56.0,-57.0,-57.0,-58.0,-57.0,-1.5696859749384704,-43.0,-5.0,-5.0,-34.0,1.0,-9.395074580761317,2.0
2508,50019,1.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,-2.0,0.0,0.0,1.0,1.0,2.0,3.0,-4.0,1.0,1.0,1.0,0.0,0.0,-2.0,-4.0,-6.0,-10.0,-21.0,-26.0,-29.0,-32.0,-33.0,-23.0,-31.0,-40.0,-47.0,-48.0,-48.0,-47.0,-35.0,-39.0,-48.0,-49.0,-49.0,-50.0,-49.0,-36.0,-42.0,-48.0,-49.0,-50.0,-50.0,-49.0,-37.0,-7.0,-2.3343950270674174,-29.040206837782303,0.7089968919171358,3.0
2509,50021,2.0,2.541799378383427,-0.08359875676685431,-0.7089968919171358,3.1671975135337087,2.0,3.8328024864662917,3.8328024864662917,5.7492037296994365,-1.4179937838342715,0.3746018648497185,1.0,1.0,1.3746018648497187,1.0,4.167197513533709,0.4582006216165728,-0.16719751353370862,0.6253981351502814,2.0,0.749203729699437,-0.6253981351502814,-2.4179937838342713,-10.79259564868399,-5.250796270300563,-14.625398135150283,-23.0,-25.000000000000004,-25.541799378383427,-27.45820062161657,-23.876194405450843,-27.0,-34.083598756766854,-38.083598756766854,-40.625398135150284,-41.0,-39.0,-33.0,-38.70899689191714,-41.83280248646629,-42.45820062161657,-41.45820062161658,-41.54179937838343,-40.0,-35.45820062161657,-38.16719751353371,-38.83280248646629,-39.45820062161657,-39.54179937838343,-41.0,-40.916401243233146,-32.374601864849716,1.0,4.0,-22.0,2.0,6.0
2510,50023,3.0,2.0,2.0,1.0,1.0,0.0,6.0,4.0,4.0,6.0,4.0,6.0,4.0,5.0,-7.576545933300163,0.0,4.0,0.0,4.0,-1.0,2.0,-10.865883883905937,4.0,2.0,-2.0,5.0,1.0,-13.0,-13.586240145693077,-19.0,-20.0,-23.0,-23.0,-22.0,-24.0,-19.736337714533153,-30.0,-36.0,-35.0,-36.0,-39.0,-36.0,-13.931839079177973,-37.0,-36.0,-38.0,-35.0,-37.0,-38.0,-14.985413685539951,-29.0,-37.0,-35.0,-38.0,-35.0,-38.0,-13.866415572840884
2511,50025,-38.0,-29.0,-1.0,-3.0,-28.0,0.0,-4.091447881893294,2.0,1.0,0.0,2.0,0.0,-11.39984855461073,2.0,0.0,2.0,0.0,-1.0,1.0,3.0,0.0,-2.0,2.0,1.0,-5.0,0.0,-2.0,0.0,0.0,2.0,1.0,-4.0,-6.0,-5.0,-14.0,-20.0,-19.0,-23.0,-25.0,-17.0,-22.0,-29.0,-33.0,-34.0,-35.0,-37.0,-26.0,-28.0,-34.0,-36.0,-33.0,-36.0,-35.0,-26.0,-30.0,-34.0,-36.0
2512,50027,-34.0,-36.0,-39.0,-28.0,2.0,4.0,-27.0,-3.0,-2.0,1.0,-4.0,-3.0,3.0,4.0,0.0,-1.0,-1.0,-1.0,-6.0,4.0,2.0,0.0,-3.0,-1.0,-2.0,-2.0,4.0,2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-3.0,-17.0,-24.0,-26.0,-26.0,-26.0,-18.0,-22.0,-36.0,-41.0,-43.0,-40.0,-39.0,-27.0,-29.0,-35.0,-40.0,-40.0,-42.0,-38.0,-27.0,-29.0,-40.0,-44.0
2513,51001,-45.0,-45.0,-42.0,-26.0,0.5364848428253666,-1.3247019741196422,-22.0,0.0,7.0,1.3795414824269754,0.5362784222549446,1.1335181842782887,0.39849169376170807,-2.0,-2.0,7.0,1.4680669495201317,0.05006070682540069,1.3728899902518292,3.601087517998419,-7.0,2.0,0.0,1.1969251589417764,-2.0541585178409765,2.250121505170658,2.9834627487957177,-4.0,-2.0,4.0,0.08254982825724902,-3.842464678356669,-2.0144450330495527,-3.3101756272840746,-11.0,-15.0,-22.0,-16.0,-24.149183552100084,-15.9804818488584,-22.929155678172553,-28.0,-30.0,-33.0,-30.0,-36.51797189386017,-28.292143169300502,-32.19794600663119,-26.0,-34.0,-33.0,-25.0,-38.0327815480829,-27.598103675641863,-28.71155164291408,-33.0,-36.0
2514,51003,-30.0,-27.0,-39.63500300117401,-28.301517940105054,-7.0,-6.0,-24.0,3.0,3.0,2.0,3.0,-1.0,-3.0,5.0,2.0,2.0,2.0,3.0,-6.0,-1.0,1.0,1.0,0.0,1.0,6.0,0.0,-2.0,2.0,2.0,-2.0,-2.0,-7.0,-14.0,-8.0,-16.0,-23.0,-25.0,-26.0,-27.0,-28.0,-27.0,-35.0,-39.0,-42.0,-41.0,-39.0,-33.0,-41.0,-40.0,-42.0,-41.0,-42.0,-40.0,-35.0,-40.0,-37.0,-39.0
2515,51005,-40.0,-41.0,-40.0,-31.0,-1.0,1.0,-31.0,-3.0,1.0,2.0,3.0,4.0,-9.640641905641724,1.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,-1.0,1.0,-1.0,-2.0,-6.0,-11.0,-10.0,-13.0,-31.0,-38.0,-42.0,-44.0,-45.0,-28.0,-33.0,-50.0,-55.0,-56.0,-57.0,-57.0,-38.0,-41.0,-56.0,-58.0,-58.0,-59.0,-58.0,-39.0,-42.0,-57.0
2516,51007,-58.0,-59.0,-59.0,-59.0,-39.0,0.0,3.0,-26.0,1.0,2.0,1.0,5.0,2.0,0.0,3.0,2.0,1.0,-2.0,-1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-2.0,-11.0,-19.0,-25.0,-29.0,-31.0,-32.0,-23.0,-31.0,-39.0,-44.0,-44.0,-45.0,-46.0,-35.0,-39.0,-44.0,-45.0,-46.0,-46.0,-45.0,-36.0,-38.0,
2517,51009,-44.0,-46.0,-46.0,-47.0,-47.0,-33.0,-2.0,1.0,-17.0,0.0,0.0,2.0,2.0,5.0,-1.5825392418393007,-2.4205680280038964,5.0,-9.686885829126425,-15.168351354467802,3.0,-18.72173354065549,-19.00517451578171,-23.77856188614539,-18.457556273616596,-22.50677469198284,-23.592357564144777,-23.505831259358704,-25.52827147903323,-25.016532938526556,-29.466914768509508,-23.290363984775958,2.0,-26.725775048929755,-31.258437461975543,-28.900644864947402,-26.636643024298785,-30.50766138066956,-24.050710568793935,-26.645356378050177,-31.69384297517516,-31.061128665699147,-31.864801337397154,-28.6866440870078,-14.246800445303895,-3.889357406938685,-12.627583712453768,1.0,1.0,-14.683153553226138,-10.493147715997711,3.2784913897055787,1.0,2.0,5.0,4.0,2.0,-10.568309574173187
2518,51011,-1.4001471559200647,1.0,2.0,2.0,4.0,4.0,-11.420635627583367,-0.4315774025154965,2.0,1.0,-1.0,0.0,-1.0,-9.622475255697541,-3.0,-11.0,-14.0,-22.0,-27.0,-30.0,-34.0,-30.0,-33.0,-42.0,-43.0,-43.0,-44.0,-43.0,-37.0,-41.0,-42.0,-44.0,-47.0,-47.0,-45.0,-33.0,-39.0,-45.0,-46.0,-47.0,-48.0,-57.0,-40.0,4.0,4.0,-15.0,2.0,1.0,1.0,3.0,8.0,6.0,3.0,2.0,1.0,0.0,3.0
2519,51013,5.0,7.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,-1.0,-3.0,-3.0,-5.0,-8.0,-3.0,-10.0,-28.0,-40.0,-44.0,-47.0,-50.0,-40.0,-38.0,-58.0,-61.0,-61.0,-61.0,-59.0,-45.0,-41.0,-61.0,-62.0,-62.0,-62.0,-60.0,-44.0,-44.0,-61.0,-63.0,-63.0,-64.0,-66.0,-45.0,1.0,2.0,-11.0,2.0,2.0,1.0,2.0,6.0,5.0,3.0,3.0,1.0,0.0,4.0
2520,51015,3.0,7.0,4.0,3.0,1.0,4.0,4.0,6.0,4.8038130384836535,7.0,1.0,1.0,1.0,-1.0,3.0,-0.2402910665373514,3.0,2.0,-10.0,-22.0,-24.0,-25.0,-17.59720524837485,-31.0,-23.0,-23.0,-39.0,-39.0,-40.0,-24.23270814584945,-39.0,-38.0,-29.0,-26.0,-38.0,-41.0,-34.18893667842182,-41.0,-41.0,-41.0,-27.0,-30.0,-40.0,-32.35236440152596,-42.0,-44.0,-45.0,-54.0,-33.0,0.0,-12.765522156821948,0.0,-12.0,1.0,1.0,1.0,2.0
2521,51017,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1679055850889277,-5.464583440087398,,,,,,0.5044302174640389,,,,,,,-1.0925640339186462
2522,51019,-2.024035907970689,-2.076505311144858,4.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,-2.0,0.0,-1.0,0.26722289857503845,-5.0,-1.0,-5.0,-16.0,-28.0,-32.0,-37.0,-44.0,-37.0,-32.0,-50.0,-51.0,-52.0,-52.0,-51.0,-43.0,-37.0,-52.0,-54.0,-54.0,-54.0,-52.0,-44.0,-39.0,-53.0,-54.0,-55.0,-55.0,-61.0,-42.0,0.0,2.0,-19.0,1.0,2.0
2523,51021,4.0,4.0,-14.201157546653947,-15.02457710415337,1.0,-15.233307373652902,-15.930443526988293,-16.653242974833496,-16.240308987558194,-17.721123014958923,-17.220731236183564,-15.606204556229205,-15.406334075156312,-15.800311260562175,-18.67578016283045,-19.67952315700349,-20.20864353500003,-20.565516707198867,-19.20398853190189,-6.579451586027971,-7.935261782721047,-14.494235081984321,-11.671159316403463,-12.226075502129202,-9.613993177381015,-13.323868076231275,-21.010213235375236,-23.761396158504148,-13.687579541857538,-19.016992046826715,-23.112746029353918,-13.75890745489109,1.0,5.0,5.0,4.0,-25.695527321359087,-22.210996944915653,-15.870245527493298,4.0,5.0,1.0,0.0,-23.41517401756108,-23.091877762702445,-17.459464836004262,6.0,3.0,5.0,-1.0,1.0,-30.393632835725274,-13.445599507839622,-1.0,-3.0,3.0,2.0
2524,51023,3.0,3.011553963214464,2.0,1.0,5.0,0.0,-7.0,-17.0,-18.0,-21.0,-24.0,-19.0,-20.0,-33.0,-34.0,-35.0,-36.0,-35.0,-27.0,-26.0,-35.0,-37.0,-38.0,-39.0,-38.0,-28.0,-31.0,-37.0,-41.0,-41.0,-42.0,-52.0,-28.0,-3.0,-1.0,-16.0,1.0,-6.36819466600714,1.4273879254170272,1.0,-18.151767337909014,-23.775116769789616,-9.702365280323637,3.268302067293316,1.6379848423788668,2.668832306172991,-8.652297270889385,-13.594682049908533,-7.936877681706183,2.3933842978796473,2.139076038414324,1.3158116978129548,2.5645015820600143,1.0652451593948846,-5.22329780040163,-11.849947027391057,-4.189387586877383
2525,51025,-5.180991302180588,,-8.753754002779694,-11.314023528829685,-14.790691860562701,-17.122405875216383,-10.276081680947728,-14.394650371729337,-16.248923393193458,2.0,-17.75537202696198,1.0,1.0,2.0,3.0,-9.095174317646059,-12.029359777279947,-24.458109180028906,3.0,2.0,1.0,0.0,-20.671061981759713,-29.30648865347247,-29.97316808594802,0.0,1.0,1.0,3.0,-23.547311320241228,-18.035231732735937,-18.364226632281856,1.0,1.0,2.0,0.0,0.0,-5.559780941702521,0.0,-1.0,0.0,0.0,-2.0,-9.0,-3.0,-6.0,-17.0,-26.0,-29.0,-31.0,-38.0,-32.0,-34.0,-50.0,-50.0,-51.0,-49.0
2526,51027,-49.0,-40.0,-18.83500727130158,-12.45639835424063,-37.0,-49.0,-50.0,-50.0,-51.0,-8.380950143658671,-15.004464093807886,-12.206752504531451,-51.0,-16.580168690879848,-20.17373016674881,-17.925513906265692,-19.191859462933266,-20.314626677342268,-38.0,-38.0,-13.974677436154412,-50.0,-51.0,-13.627569310130303,-15.354341056476024,-14.858240449586894,-52.0,-16.53181591901397,-17.52366283541213,-16.792882258699237,-15.480636923953375,-18.85735383936822,-53.0,-64.0,-43.0,1.0,5.0,-23.08674934119874,-9.403801349998401,-21.0,1.0,1.0,0.0,4.0,-10.177430095931982,2.0,7.0,3.0,2.0,3.0,1.0,-16.620568367595187,3.0,3.0,6.0,2.0,
2527,51029,2.0,2.0,-5.659896782664498,2.0,3.0,3.0,4.0,1.0,1.0,1.0,-1.0,-4.0,0.0,-1.0,-12.0,-21.0,-25.0,-27.0,-32.0,-29.0,-24.0,-41.0,-42.0,-43.0,-43.0,-43.0,-34.0,-31.0,-42.0,-43.0,-43.0,-45.0,-45.0,-34.0,-33.0,-45.0,-46.0,-45.0,-46.0,-53.0,-34.0,-7.0,9.0,-14.0,0.0,2.0,4.0,1.0,-1.0,9.0,4.0,4.0,3.0,3.0,4.0,-10.0,
2528,51031,4.0,2.0,2.0,3.0,3.0,3.0,-1.0,-0.757584685834202,-1.50764420567116,13.0,-2.8386822495462867,0.7120885529033023,-3.7643735914739054,5.0,-5.753314447033989,-6.909250050266082,-10.153764536147108,-13.486136753992774,-10.222002962948878,-15.401837593107684,-17.75828560452093,-17.114936732597698,-17.597106003049447,-21.372640060797966,-20.894906738396223,-16.93392522633619,-20.445651266509433,4.0,-19.098065485274223,-19.941292697157742,-16.25199706259118,-16.886811060247815,-18.168407442184723,-14.677900768920756,-15.130218060719024,-16.387458641264516,-20.519849014122823,3.0,5.0,-16.05412999655025,0.0,-2.0,-13.302693685490807,-17.995209114938664,9.0,-10.0,-19.0,-20.0,-21.0,-24.0,-21.414895554147954,-17.0,-13.0,-33.0,-34.0,-36.0,-7.644556482127568
2529,51033,-7.160298741058392,-34.0,-36.0,-12.60388572576749,-24.0,-19.0,-35.0,-12.844596745673506,-37.0,-13.42810537071046,-35.0,-37.0,-38.0,-24.0,-19.0,-35.0,-36.0,-38.0,-37.0,-44.0,-18.0,3.0,1.0,-26.0,0.0,2.0,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,-2.0,-12.0,-1.0,-10.0,-28.0,-35.0,-39.0,-42.0,-44.0,-33.0
2530,51035,-35.0,-54.0,-55.0,-28.75493745928843,-56.0,-56.0,-54.0,-41.0,-40.0,-10.198357190679438,-3.9544471425998418,-55.0,-23.316545685967306,-56.0,-12.119588832961094,3.592386147076051,-7.303165557932153,-6.665641576203106,-57.0,-57.0,-56.0,2.1570939086858445,0.019931472160182172,-16.053897792948476,-15.709248675963893,-40.0,-40.0,-56.0,-10.78311167483361,-7.90057193910075,-20.91519606670276,-20.97041142252438,-57.0,-58.0,-59.0,-63.0,-41.0,2.0,-17.0966089168977,0.0,-17.0,2.0,2.0,1.0,3.0,-6.819867530227429,5.0,3.0,2.0,2.0,1.0,-10.107068701788164,-6.57509629057188,0.0,3.0,3.0,2.0
2531,51036,,,2.0,0.0,-19.44690787179295,1.0,0.0,,,3.0,2.0,1.0,-11.39259480815641,0.0,,,-1.0,0.0,-2.0,-5.0,-1.0,,,-6.0,-19.0,-30.0,-34.0,-37.0,,,-40.0,-36.0,-33.0,-50.0,-52.0,,,-52.0,-53.0,-50.0,-42.0,-40.0,,,-53.0,-54.0,-38.5045453381597,-45.556944446493254,-53.0,,,-53.0,-51.0,-39.0,-39.0,-23.513253370796576,
2532,51037,-23.409905995256086,-53.0,-55.0,-55.0,-56.0,-61.0,-5.022773376901505,-14.149226934208512,-40.0,1.0,1.0,-18.0,-1.0,-6.577888378419423,-11.211441860948218,0.0,0.0,1.0,4.0,3.0,-1.8983448209223115,-3.7740764117703436,3.0,1.0,1.0,-1.0,2.0,-5.912408212082787,-9.383356341397603,1.0,2.0,5.0,1.0,1.0,-13.314258049241408,-13.077919847399661,1.0,-2.0,3.0,2.0,2.0,-25.14282072839911,-25.161980230395933,-1.0,-2.0,-2.0,-2.0,-1.0,-32.63523415888302,-2.0,-13.0,-24.0,-27.0,-29.0,-34.0,-27.0,
2533,51041,-26.0,-40.0,-43.0,-43.0,-43.0,-43.0,-32.0,-28.0,-42.0,-44.0,-44.0,-45.0,-46.0,-33.0,-33.0,-43.0,-45.0,-45.0,-46.0,-53.0,-32.0,3.0,-2.0,-17.0,3.0,1.0,1.0,2.0,8.0,4.0,3.0,3.0,3.0,3.0,1.0,6.0,3.0,3.0,4.0,3.0,5.0,0.0,2.0,4.0,-5.272420052882065,-9.471227094879689,3.0,2.0,-2.0,0.0,-2.0,-1.0,-33.35170590196445,0.0,-7.0,-12.0,-22.0
2534,51043,-26.0,-16.819134499765354,-21.064056582424843,-26.0,-32.0,-24.0,-29.0,-41.0,-47.0,-19.750311721866392,-41.0,-42.0,-42.0,-43.0,-36.0,-54.90851930014078,-1.3257215930251927,-35.0,-41.0,-44.0,-45.0,-46.0,-54.85405006012201,0.10570903366806488,-47.0,-36.0,-41.0,-46.0,-47.0,-20.143854040394206,0.7911191099917027,-48.0,-48.0,-56.0,-38.0,8.0,-20.143854040394206,-18.83097833016031,7.0,-13.0,-1.0,1.0,1.0,-31.17085988482483,3.0,8.0,6.0,1.0,3.0,2.0,2.0,4.0,8.0,7.0,-1.0,1.0,
2535,51045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,-4.0,-15.0,-24.0,,,,-23.0,-22.0,-25.0,-27.0,,,,-13.0,-18.0,-34.0,-44.0,-47.0,
2536,51047,-48.0,-52.0,-40.0,-45.0,-62.0,-63.0,-65.0,-64.0,-62.0,-47.0,-54.0,-66.0,-66.0,-66.0,-66.0,-64.0,-46.0,-54.0,-66.0,-67.0,-67.0,-67.0,-69.0,-47.0,-1.0,-1.0,-30.0,2.0,2.0,2.0,-7.797387672591959,-14.27535156138755,2.0,-13.680458796103846,-21.77847935062379,-24.262703727711234,-2.160184542236417,-7.199437238385603,-10.545458107044183,-10.172661255183467,-10.446890760787031,-9.332134765298548,-4.556816965117315,-1.7284593008762732,-14.671265670466395,-11.73137650048351,-12.418339882891798,-17.987886846491435,-14.907206332919563,-3.8692312054062556,-1.1737580184870093,-16.738637854229236,-14.677511493983603,-15.21738860140102,-12.442035757993942,-4.9020939584840635,-6.612615034724189
2537,51049,-5.79657863519109,,-9.922077039416349,-14.358620551241481,-13.375204287827138,-15.348878027430716,-14.55801763068133,,,-20.963175171518074,-17.824908548832255,-12.09844725721401,-17.43463406270689,-19.395482551273027,,,-22.050254939342686,5.0,5.0,-14.004113276814532,-7.5631839767038525,,,-14.677167215937713,-12.998054680521436,-16.77411116236298,3.0,-17.55193475492786,,,-17.354305513211287,2.0,-15.728428361730911,-17.769143197182657,-19.641586997868703,,,2.0,1.0,2.0,-13.046479618662964,4.0,,,-3.1389847903142107,-13.609304714806767,-7.276727605651246,3.0,3.0,,,2.0,1.0,0.0,-1.0,-14.13663393378578,
2538,51051,6.0,1.0,-1.0,-2.0,-3.0,-5.0,-11.273921214706856,-14.0,,-3.0,-15.0,-37.0,-45.0,-47.0,-12.837605594597855,,-50.0,-52.0,-33.0,-36.0,-60.0,-62.0,,-3.3077716125602357,-63.0,-62.0,-60.0,-42.0,-41.0,,-61.0,-10.191693342284857,-62.0,-62.0,-62.0,-61.0,-40.0,-40.0,-19.656088163712102,-62.0,-63.0,-63.0,-64.0,-67.0,-40.0,-22.71284007633174,8.0,-1.0,-11.0,2.0,1.0,-20.916920957014,2.0,-24.068003977171166,-1.0,16.0,
2539,51053,5.0,3.0,1.0,0.0,-9.891592327822295,0.0,3.0,10.0,4.0,3.0,-2.0,-0.3268347241785521,-3.0,-2.0,-1.0,8.0,3.0,3.0,-4.215459060465057,0.0,-1.0,0.0,0.0,11.0,-5.0,-11.84117592021487,-15.0,-23.0,-27.0,-27.0,-36.0,-22.0,-22.342409544066808,-27.0,-44.0,-45.0,-45.0,-44.0,-44.0,-28.990291974293672,-20.0,-27.0,-44.0,-46.0,-47.0,-45.0,0.5305537076249078,-44.0,-26.0,-36.0,-44.0,-46.0,-13.387014903953979,1.2242383285423588,-1.0,-48.0,-1.2242383285423588
2540,51057,-2.0,-4.103046685830566,-2.387880835728821,-10.284834149898256,-21.28483414989826,-26.61211916427118,-47.0,-32.83635749281354,-31.26668919301703,-28.327285014372926,-37.67271498562708,-45.71516585010175,-45.71516585010175,-46.10304668583057,-45.327285014372926,-38.593974207389955,-32.65457002874585,-40.060595821355896,-45.939404178644104,-46.327285014372926,-46.939404178644104,-47.939404178644104,-39.98185504311877,-34.939404178644104,-41.060595821355896,-46.939404178644104,-53.0,-23.0,1.0,0.0,-13.0,-0.8363574928135381,-8.466621613965946,1.0,1.0,2.0,0.0,4.0,3.224238328542359,4.551523342915283,5.0,2.0,2.0,2.0,0.0,3.0000000000000004,4.163642507186462,5.0,2.0,4.0,2.0,2.0,3.6121191642711796,0.0,1.0,3.0,6.0
2541,51059,7.0,-1.0,0.0,0.0,0.0,2.0,1.0,-2.0,-14.0,-20.0,-24.0,-24.0,-27.0,-21.0,-21.0,-40.0,-38.0,-39.0,-39.0,-38.0,-27.0,-23.0,-39.0,-39.0,-40.0,-41.0,-40.0,-30.0,-31.0,-41.0,-40.0,-41.0,-40.0,-48.0,-27.0,2.0,4.0,-15.0,0.0,3.0,4.0,1.0,0.0,8.0,-3.0,3.0,4.0,3.0,3.0,3.0,7.0,4.0,3.0,1.1639941635101474,2.950983949652905,4.0,3.0
