,FIPS,hospitals,staffed_beds,licensed_beds,icu_beds_Pre,icu_beds_Post
1732,31157,1,122.0,166.0,22.0,22
1733,31159,1,24.0,24.0,0.0,0
1734,31161,1,25.0,25.0,0.0,0
1738,31169,1,19.0,17.0,0.0,0
1740,31173,1,34.0,21.0,0.0,0
1741,31175,1,16.0,16.0,0.0,0
1742,31177,1,21.0,21.0,0.0,0
1743,31179,1,25.0,0.0,0.0,0
1744,31181,1,13.0,13.0,0.0,0
1746,31185,2,38.0,38.0,0.0,0
1747,32001,1,25.0,40.0,0.0,0
1748,32003,19,6323.0,5370.0,452.0,535
1749,32005,1,23.0,23.0,0.0,0
1750,32007,1,59.0,75.0,7.0,7
1753,32013,1,25.0,53.0,3.0,3
1754,32015,1,5.0,25.0,0.0,0
1755,32017,1,4.0,20.0,0.0,0
1756,32019,1,14.0,63.0,0.0,0
1757,32021,1,11.0,35.0,0.0,0
1758,32023,1,25.0,25.0,0.0,0
1759,32027,1,13.0,38.0,0.0,0
1761,32031,5,1429.0,1705.0,290.0,331
1762,32033,1,25.0,25.0,0.0,0
1763,32510,1,219.0,234.0,24.0,24
1764,33001,1,86.0,137.0,10.0,10
1765,33003,2,50.0,50.0,8.0,8
1766,33005,1,86.0,169.0,27.0,27
1767,33007,3,66.0,66.0,3.0,3
1768,33009,5,553.0,506.0,52.0,54
1769,33011,5,1002.0,1082.0,62.0,62
1770,33013,3,474.0,395.0,18.0,18
1771,33015,3,506.0,573.0,43.0,43
1772,33017,2,182.0,290.0,17.0,17
1773,33019,1,25.0,25.0,0.0,0
1774,34001,2,1602.0,906.0,54.0,64
1775,34003,6,3025.0,3011.0,112.0,147
1776,34005,3,983.0,1046.0,82.0,82
1777,34007,4,2244.0,2142.0,166.0,199
1778,34009,1,149.0,242.0,16.0,16
1779,34011,1,321.0,335.0,12.0,36
1780,34013,7,2906.0,3581.0,215.0,267
1781,34015,1,233.0,311.0,14.0,14
1782,34017,6,1086.0,1851.0,89.0,105
1783,34019,1,170.0,184.0,12.0,12
1784,34021,4,1399.0,1147.0,80.0,92
1785,34023,5,2808.0,2071.0,97.0,185
1786,34025,5,1643.0,2151.0,128.0,152
