FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit
6109,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,1.3,0.6,2515,143,2,2,0
6111,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,3.4,2.0,33851,468,5,10,1
6113,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,4.6,3.6,77241,661,10,16,4
6115,737503.0,737503.0,737503.0,737503.0,737499.0,737499.0,737500.0,737495.0,2.4,1.3,7646,320,2,5,1
8001,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,4.5,3.2,93889,843,4,28,4
8003,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8005,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,5.8,5.7,110792,1244,4,30,4
8007,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8009,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8011,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8013,737508.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,5.1,3.8,73569,1633,8,24,5
8015,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8017,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8019,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.2,0.0,0,26,1,0,0
8021,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
8023,737510.0,737508.0,737497.0,737507.0,737504.0,737501.0,737500.0,737495.0,0.0,0.0,0,0,0,0,0
