,Retail & recreation,Retail & recreation,Grocery & pharmacy,Grocery & pharmacy,Parks,Parks,Transit stations,Transit stations,Workplaces,Workplaces,Residential,Residential
Date,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05,2020-03-29,2020-04-05
FIPS,,,,,,,,,,,,
8109,,,,,,,,,-44.0,-44.0,,
8113,-80.0,-80.0,,,,,,,-69.0,-69.0,,
8117,-86.0,-84.0,-73.0,-73.0,-74.0,-72.0,-67.0,-67.0,-71.0,-65.0,5.0,5.0
8119,-46.0,-34.0,-23.0,-19.0,,,,,-45.0,-46.0,-1.0,-1.0
8121,,,,,,,,,,-42.0,,
8123,-42.0,-37.0,-26.0,-17.0,-4.0,23.0,-32.0,-29.0,-33.0,-32.0,12.0,11.0
8125,-33.0,-33.0,-22.0,-26.0,,,,,-30.0,-23.0,,
9001,-61.0,-56.0,-35.0,-30.0,-60.0,6.0,-72.0,-71.0,-44.0,-44.0,17.0,16.0
9003,-56.0,-51.0,-31.0,-25.0,-48.0,31.0,-61.0,-56.0,-35.0,-36.0,13.0,12.0
9005,-51.0,-45.0,-27.0,-27.0,-40.0,86.0,,,-33.0,-36.0,13.0,11.0
9007,-58.0,-49.0,-28.0,-27.0,-49.0,85.0,-60.0,-53.0,-38.0,-35.0,15.0,13.0
9009,-56.0,-50.0,-31.0,-23.0,-52.0,7.0,-62.0,-58.0,-36.0,-38.0,14.0,13.0
9011,-56.0,-51.0,-28.0,-20.0,-45.0,22.0,-67.0,-60.0,-41.0,-39.0,15.0,13.0
9013,-59.0,-48.0,-33.0,-29.0,-38.0,96.0,-38.0,-43.0,-37.0,-39.0,14.0,14.0
9015,-42.0,-39.0,-27.0,-22.0,-58.0,24.0,-69.0,-66.0,-32.0,-32.0,12.0,11.0
10001,-45.0,-42.0,-32.0,-29.0,2.0,37.0,-50.0,-26.0,-35.0,-37.0,11.0,11.0
10003,-48.0,-48.0,-31.0,-30.0,5.0,76.0,-60.0,-56.0,-37.0,-38.0,13.0,12.0
10005,-46.0,-48.0,-23.0,-26.0,-5.0,3.0,-40.0,-48.0,-36.0,-39.0,11.0,11.0
12001,-54.0,-57.0,-26.0,-30.0,-32.0,-53.0,-48.0,-54.0,-37.0,-40.0,12.0,14.0
