,Grocery & pharmacy,Grocery & pharmacy,Grocery & pharmacy
Date,2020-03-29,2020-04-05,2020-04-11
FIPS,,,
12107,-15.0,-14.0,4.0
12109,-13.0,-21.0,-2.0
12111,-14.0,-24.0,-9.0
12113,-13.0,-24.0,-2.0
12115,-28.0,-40.0,-28.0
12117,-21.0,-37.0,-17.0
12119,-21.0,-36.0,-16.0
12121,-14.0,-14.0,0.0
12123,-7.0,2.0,2.0
12125,-5.0,-11.0,-11.0
12127,-19.0,-34.0,-13.0
12129,-20.0,-17.0,-17.0
12131,-23.0,-32.0,-23.0
12133,5.0,8.0,8.0
13001,-16.0,-20.0,-20.0
13003,12.0,8.0,8.0
13005,-15.0,-27.0,-27.0
13009,-20.0,-26.0,-11.0
13011,,,
13013,-12.0,-15.0,2.0
13015,-5.0,-9.0,7.0
13017,9.0,1.0,1.0
13019,5.0,-13.0,-13.0
13021,-16.0,-22.0,-3.0
13023,-8.0,8.0,8.0
13025,-4.0,-7.0,-7.0
13027,-5.0,-16.0,-16.0
13029,-19.0,-24.0,-2.0
13031,-12.0,-26.0,-14.0
13033,-7.0,-17.0,-17.0
13035,-6.0,-9.0,-9.0
13039,3.0,-4.0,12.0
13043,-20.0,-28.0,-28.0
13045,-18.0,-18.0,5.0
13047,-8.0,-20.0,3.0
13049,7.0,-9.0,-9.0
13051,-24.0,-29.0,-19.0
13053,-39.0,-45.0,-38.0
13055,-2.0,-5.0,-5.0
13057,-20.0,-28.0,-7.0
13059,-24.0,-27.0,-14.0
13063,-18.0,-20.0,-4.0
13065,-2.0,-2.0,-2.0
13067,-22.0,-28.0,-8.0
13069,-8.0,-16.0,-1.0
13071,-6.0,-13.0,1.0
13073,-7.0,-19.0,3.0
13075,2.0,-2.0,-2.0
13077,-16.0,-22.0,1.0
13079,,,
13081,-22.0,-21.0,-21.0
13083,-9.0,-23.0,-23.0
13085,-25.0,-37.0,-11.0
13087,-10.0,-12.0,-12.0
13089,-26.0,-25.0,-7.0
13091,-5.0,-18.0,-18.0
13093,-25.0,-28.0,-28.0
13095,-24.0,-29.0,-16.0
13097,-26.0,-24.0,-6.0
13099,-23.0,-29.0,-29.0
13103,-7.0,-17.0,9.0
13105,3.0,-21.0,-21.0
13107,17.0,5.0,5.0
13109,4.0,-22.0,-22.0
13111,-21.0,-29.0,-29.0
13113,-29.0,-32.0,-6.0
13115,-8.0,-12.0,7.0
13117,-32.0,-45.0,-22.0
13119,-15.0,-13.0,-13.0
13121,-26.0,-29.0,-15.0
13123,-31.0,-28.0,-28.0
13127,-22.0,-29.0,-15.0
13129,-8.0,-14.0,2.0
13131,-6.0,-13.0,-13.0
13133,-13.0,-27.0,-27.0
13135,-24.0,-26.0,-8.0
13137,-10.0,-24.0,11.0
13139,-19.0,-26.0,-8.0
13141,6.0,-17.0,-17.0
13143,-6.0,26.0,26.0
13145,9.0,0.0,0.0
13147,-6.0,-11.0,-11.0
13149,2.0,-15.0,-15.0
13151,-13.0,-21.0,4.0
13153,-15.0,-29.0,-9.0
13155,-2.0,-14.0,-14.0
13157,-38.0,-39.0,-16.0
13159,-2.0,-13.0,-13.0
13161,-12.0,-18.0,-18.0
13163,-3.0,-13.0,-13.0
13165,2.0,-17.0,-17.0
13167,-9.0,-13.0,-13.0
13169,4.0,-14.0,-14.0
13171,-6.0,-14.0,-14.0
13173,-6.0,-15.0,-15.0
13175,-15.0,-25.0,-10.0
13177,-21.0,-24.0,-24.0
13179,-17.0,-23.0,-5.0
13181,,,
13183,,,
13185,-17.0,-24.0,-10.0
13187,19.0,16.0,16.0
13189,4.0,-2.0,-2.0
13191,0.0,-9.0,-9.0
13193,-4.0,-16.0,-16.0
13195,-17.0,-6.0,4.0
13197,12.0,-9.0,-9.0
13199,-4.0,-7.0,-7.0
13201,,,
