,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,FIPS
270,2.5,1.5,20706,565,6,9,0,5143
1973,0.0,0.0,0,0,0,0,0,5145
2008,0.0,0.0,0,0,0,0,1,5147
2028,0.0,0.0,0,0,0,0,0,5149
22,7.1,8.9,222025,2682,10,32,15,6001
2069,0.0,0.0,0,0,0,0,0,6003
626,0.8,0.3,2268,66,2,4,0,6005
223,2.9,1.7,28092,478,5,13,1,6007
685,0.6,0.1,972,51,1,1,1,6009
2430,0.0,0.0,0,0,0,0,0,6011
64,5.0,4.0,91167,1068,7,26,11,6013
353,2.1,1.1,4316,220,4,7,0,6015
512,1.3,0.6,5406,134,2,3,1,6017
189,3.2,2.1,48607,611,3,16,1,6019
2713,0.0,0.0,0,0,0,0,0,6021
356,2.1,1.1,12880,198,3,6,2,6023
948,0.1,0.0,803,3,0,0,0,6025
769,0.4,0.1,216,27,1,1,1,6027
202,3.1,1.9,26813,552,3,12,0,6029
219,3.0,0.8,9939,450,7,7,0,6031
414,1.8,0.9,3318,174,2,7,1,6033
600,0.9,0.4,1638,51,2,3,0,6035
28,6.8,8.0,321664,2608,8,46,6,6037
527,1.2,0.6,6065,101,2,2,0,6039
75,4.8,3.6,79497,1153,10,17,10,6041
764,0.4,0.1,7938,52,0,5,2,6043
447,1.6,0.8,6309,142,2,4,0,6045
287,2.4,1.5,11658,268,4,7,1,6047
804,0.3,0.1,100,8,0,0,0,6049
161,3.5,1.9,2830,1178,6,3,21,6051
119,4.2,2.4,33243,870,6,16,1,6053
176,3.3,2.0,21478,475,4,7,1,6055
520,1.2,0.5,5333,105,2,4,1,6057
110,4.2,2.7,172595,528,4,32,2,6059
368,2.0,0.9,22351,184,3,7,1,6061
663,0.7,0.2,859,45,1,2,0,6063
182,3.3,2.0,27262,589,3,13,1,6065
71,4.8,4.1,93403,729,6,22,2,6067
421,1.7,1.0,4149,110,2,3,0,6069
95,4.4,3.1,44660,1098,3,17,1,6071
54,5.3,5.1,82735,1358,4,19,3,6073
3,9.6,31.7,653730,11896,26,37,36,6075
214,3.0,1.8,33035,373,5,12,1,6077
264,2.6,0.9,13506,277,4,6,1,6079
37,6.1,6.5,183088,1411,8,27,10,6081
106,4.3,2.5,31301,718,5,10,3,6083
30,6.5,6.7,222227,1629,6,40,4,6085
69,4.8,4.1,33599,1269,6,15,2,6087
416,1.8,1.0,11633,168,3,6,0,6089
1708,0.0,0.0,0,0,0,0,0,6091
594,0.9,0.3,2647,63,2,3,0,6093
129,3.9,2.3,25574,597,5,12,3,6095
172,3.4,2.0,46795,430,7,21,2,6097
150,3.6,2.7,34836,540,4,13,0,6099
253,2.7,1.5,11554,277,2,6,0,6101
563,1.0,0.5,3041,76,3,3,0,6103
691,0.6,0.2,647,35,2,4,0,6105
123,4.1,2.5,29351,885,8,19,0,6107
495,1.3,0.6,2515,143,2,2,0,6109
168,3.4,2.0,33851,468,5,10,1,6111
85,4.6,3.6,77241,661,10,16,4,6113
299,2.4,1.3,7646,320,2,5,1,6115
87,4.5,3.2,93889,843,4,28,4,8001
2053,0.0,0.0,0,0,0,0,0,8003
44,5.8,5.7,110792,1244,4,30,4,8005
2084,0.0,0.0,0,0,0,0,0,8007
2109,0.0,0.0,0,0,0,0,0,8009
2154,0.0,0.0,0,0,0,0,0,8011
59,5.1,3.8,73569,1633,8,24,5,8013
2318,0.0,0.0,0,0,0,0,0,8015
2345,0.0,0.0,0,0,0,0,0,8017
866,0.2,0.0,0,26,1,0,0,8019
2438,0.0,0.0,0,0,0,0,0,8021
2449,0.0,0.0,0,0,0,0,0,8023
2477,0.0,0.0,0,0,0,0,0,8025
2487,0.0,0.0,0,0,0,0,0,8027
